element_tag,beam_id,beam_tag_original,nivel,x_i_m,y_i_m,x_j_m,y_j_m,seccion,plano_fuente
9011,L1_V30_CON_01,2081,L1,0.4,4.265,1.9,4.265,V30x80,2024_22-101-Model.pdf
9012,L1_V30_CON_03,2083,L1,0.4,11.885,1.9,11.885,V30x80,2024_22-101-Model.pdf
9013,L2_V30_CON_01,2085,L2,0.4,4.265,1.9,4.265,V30x80,2024_22-101-Model.pdf
9014,L2_V30_CON_03,2087,L2,0.4,11.885,1.9,11.885,V30x80,2024_22-101-Model.pdf
9015,L3_V30_CON_01,2089,L3,0.4,4.265,1.9,4.265,V30x80,2024_22-101-Model.pdf
9016,L3_V30_CON_03,2091,L3,0.4,11.885,1.9,11.885,V30x80,2024_22-101-Model.pdf
9017,L4_V30_CON_01,2093,L4,0.4,4.265,1.9,4.265,V30x80,2024_22-101-Model.pdf
9018,L4_V30_CON_03,2095,L4,0.4,11.885,1.9,11.885,V30x80,2024_22-101-Model.pdf
9019,ROOF_V30_CON_01,2205,ROOF,0.4,4.265,1.9,4.265,V30x80,2024_22-102-Model.pdf
9020,ROOF_V30_CON_03,2207,ROOF,0.4,11.885,1.9,11.885,V30x80,2024_22-102-Model.pdf
