nivel,beam_id,element_tag,delta_area_m2,longitud_m,qG_kN_m2,fuente,estado
L1,L1_V30_CON_01,9011,2.245104364326,1.500,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L1,L1_V30_CON_03,9012,2.248025735294,1.500,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L1,L1_V40_01,2097,-1.091338235294,2.440,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L1,L1_V40_02,2098,-1.153766129032,4.635,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L1,L1_V40_03,2099,-1.156687500000,2.985,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L1,L1_V40_04,2100,-1.091338235294,2.440,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L2,L2_V30_CON_01,9013,2.245104364326,1.500,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L2,L2_V30_CON_03,9014,2.248025735294,1.500,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L2,L2_V40_01,2101,-1.091338235294,2.440,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L2,L2_V40_02,2102,-1.153766129032,4.635,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L2,L2_V40_03,2103,-1.156687500000,2.985,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L2,L2_V40_04,2104,-1.091338235294,2.440,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L3,L3_V30_CON_01,9015,2.245104364326,1.500,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L3,L3_V30_CON_03,9016,2.248025735294,1.500,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L3,L3_V40_01,2105,-1.091338235294,2.440,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L3,L3_V40_02,2106,-1.153766129032,4.635,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L3,L3_V40_03,2107,-1.156687500000,2.985,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L3,L3_V40_04,2108,-1.091338235294,2.440,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L4,L4_V30_CON_01,9017,2.245104364326,1.500,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L4,L4_V30_CON_03,9018,2.248025735294,1.500,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L4,L4_V40_01,2109,-1.091338235294,2.440,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L4,L4_V40_02,2110,-1.153766129032,4.635,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L4,L4_V40_03,2111,-1.156687500000,2.985,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
L4,L4_V40_04,2112,-1.091338235294,2.440,6.0822,auditar_tributarias_v30.py,REDISTRIBUIDO_COMBINADO
