modulo,tipo,tag_original,seccion,nodo_i,nodo_j,x1,y1,z1,x2,y2,z2,longitud_m,par_otro_modulo,decision,motivo
LT2,columna,3011,P70x70,18,66,31.25,0.0,-7.97,31.25,0.0,-4.01,3.96,,CONSERVAR,Columna P70x70 nativa LT2 en la interfaz; da soporte al nodo compartido.
LT2,columna,3012,P70x70,66,114,31.25,0.0,-4.01,31.25,0.0,-0.05,3.96,,CONSERVAR,Columna P70x70 nativa LT2 en la interfaz; da soporte al nodo compartido.
LT2,columna,3013,P70x70,114,162,31.25,0.0,-0.05,31.25,0.0,3.91,3.96,,CONSERVAR,Columna P70x70 nativa LT2 en la interfaz; da soporte al nodo compartido.
LT2,columna,3014,P70x70,162,210,31.25,0.0,3.91,31.25,0.0,7.87,3.96,,CONSERVAR,Columna P70x70 nativa LT2 en la interfaz; da soporte al nodo compartido.
LT2,columna,3015,P70x70,210,268,31.25,0.0,7.87,31.25,0.0,11.83,3.96,,CONSERVAR,Columna P70x70 nativa LT2 en la interfaz; da soporte al nodo compartido.
LT2,columna,3031,P70x70,21,69,31.25,8.9,-7.97,31.25,8.9,-4.01,3.96,,CONSERVAR,Columna P70x70 nativa LT2 en la interfaz; da soporte al nodo compartido.
LT2,columna,3032,P70x70,69,117,31.25,8.9,-4.01,31.25,8.9,-0.05,3.96,,CONSERVAR,Columna P70x70 nativa LT2 en la interfaz; da soporte al nodo compartido.
LT2,columna,3033,P70x70,117,165,31.25,8.9,-0.05,31.25,8.9,3.91,3.96,,CONSERVAR,Columna P70x70 nativa LT2 en la interfaz; da soporte al nodo compartido.
LT2,columna,3034,P70x70,165,213,31.25,8.9,3.91,31.25,8.9,7.87,3.96,,CONSERVAR,Columna P70x70 nativa LT2 en la interfaz; da soporte al nodo compartido.
LT2,columna,3035,P70x70,213,271,31.25,8.9,7.87,31.25,8.9,11.83,3.96,,CONSERVAR,Columna P70x70 nativa LT2 en la interfaz; da soporte al nodo compartido.
LT2,columna,3046,P70x70,22,70,31.25,16.15,-7.97,31.25,16.15,-4.01,3.96,,CONSERVAR,Columna P70x70 nativa LT2 en la interfaz; da soporte al nodo compartido.
LT2,columna,3047,P70x70,70,118,31.25,16.15,-4.01,31.25,16.15,-0.05,3.96,,CONSERVAR,Columna P70x70 nativa LT2 en la interfaz; da soporte al nodo compartido.
LT2,columna,3048,P70x70,118,166,31.25,16.15,-0.05,31.25,16.15,3.91,3.96,,CONSERVAR,Columna P70x70 nativa LT2 en la interfaz; da soporte al nodo compartido.
