nivel,muro,tag_conector,nodo_cadena,x_c,y_c,z_c,nodo_muro,x_w,y_w,z_w,longitud_m
L1,M001,9001,29,0.4,1.825,-4.01,25,0.1,1.825,-4.01,0.3
L1,M003,9002,33,0.4,14.325,-4.01,26,0.1,14.325,-4.01,0.3
L2,M001,9003,77,0.4,1.825,-0.05,73,0.1,1.825,-0.05,0.3
L2,M003,9004,81,0.4,14.325,-0.05,74,0.1,14.325,-0.05,0.3
L3,M001,9005,125,0.4,1.825,3.91,121,0.1,1.825,3.91,0.3
L3,M003,9006,129,0.4,14.325,3.91,122,0.1,14.325,3.91,0.3
L4,M001,9007,173,0.4,1.825,7.87,169,0.1,1.825,7.87,0.3
L4,M003,9008,177,0.4,14.325,7.87,170,0.1,14.325,7.87,0.3
ROOF,M001,9009,221,0.4,1.825,11.83,217,0.1,1.825,11.83,0.3
ROOF,M003,9010,225,0.4,14.325,11.83,218,0.1,14.325,11.83,0.3
