NIVEL,EJE,NODO_LT2,X_LT2,Y_LT2,Z_LT2,NODO_LT1,X_LT1_TR,Y_LT1_TR,Z_LT1_TR,DISTANCIA_m,COINCIDE
FUNDACION_SUP / B1,1,18,31.25,0.0,-7.97,1,31.25,-0.0,-7.97,0.0,SI
FUNDACION_SUP / B1,2,21,31.25,8.9,-7.97,3,31.25,8.9,-7.97,0.0,SI
FUNDACION_SUP / B1,3,22,31.25,16.15,-7.97,5,31.25,16.15,-7.97,0.0,SI
PISO_1S / L1,1,66,31.25,0.0,-4.01,10001,31.25,-0.0,-4.01,0.0,SI
PISO_1S / L1,2,69,31.25,8.9,-4.01,10003,31.25,8.9,-4.01,0.0,SI
PISO_1S / L1,3,70,31.25,16.15,-4.01,10005,31.25,16.15,-4.01,0.0,SI
PISO_1 / L2,1,114,31.25,0.0,-0.05,20001,31.25,-0.0,-0.05,0.0,SI
PISO_1 / L2,2,117,31.25,8.9,-0.05,20003,31.25,8.9,-0.05,0.0,SI
PISO_1 / L2,3,118,31.25,16.15,-0.05,20005,31.25,16.15,-0.05,0.0,SI
PISO_2 / L3,1,162,31.25,0.0,3.91,30001,31.25,-0.0,3.91,0.0,SI
PISO_2 / L3,2,165,31.25,8.9,3.91,30003,31.25,8.9,3.91,0.0,SI
PISO_2 / L3,3,166,31.25,16.15,3.91,30005,31.25,16.15,3.91,0.0,SI
PISO_3 / L4,1,210,31.25,0.0,7.87,40001,31.25,-0.0,7.87,0.0,SI
PISO_3 / L4,2,213,31.25,8.9,7.87,40003,31.25,8.9,7.87,0.0,SI
PISO_3 / L4,3,214,31.25,16.15,7.87,40005,31.25,16.15,7.87,0.0,SI
PISO_4 / ROOF,1,268,31.25,0.0,11.83,50001,31.25,-0.0,11.83,0.0,SI
PISO_4 / ROOF,2,271,31.25,8.9,11.83,50003,31.25,8.9,11.83,0.0,SI
PISO_4 / ROOF,3,272,31.25,16.15,11.83,50005,31.25,16.15,11.83,0.0,SI
