nivel_lt2,eje,tag_original_lt1,tag_original_lt2,tag_combinado,x_m,y_m,z_m
B1,1,1,18,18,31.25,-0.0,-7.97
B1,2,3,21,21,31.25,8.9,-7.97
B1,3,5,22,22,31.25,16.15,-7.97
L1,1,10001,66,66,31.25,-0.0,-4.01
L1,2,10003,69,69,31.25,8.9,-4.01
L1,3,10005,70,70,31.25,16.15,-4.01
L2,1,20001,114,114,31.25,-0.0,-0.05
L2,2,20003,117,117,31.25,8.9,-0.05
L2,3,20005,118,118,31.25,16.15,-0.05
L3,1,30001,162,162,31.25,-0.0,3.91
L3,2,30003,165,165,31.25,8.9,3.91
L3,3,30005,166,166,31.25,16.15,3.91
L4,1,40001,210,210,31.25,-0.0,7.87
L4,2,40003,213,213,31.25,8.9,7.87
L4,3,40005,214,214,31.25,16.15,7.87
ROOF,1,50001,268,268,31.25,-0.0,11.83
ROOF,2,50003,271,271,31.25,8.9,11.83
ROOF,3,50005,272,272,31.25,16.15,11.83
