code,x0_m,y0_m,z0_m,x1_m,y1_m,z1_m,diameter_mm,spacing_cm,layer,direction,level,pano_id,z_approximation
LT1:200-I:01,31.25,8.075,-7.87,73.75,8.075,-7.87,12,20,both,X,FUNDACION_SUP,_,True
LT1:200-I:01,31.350235849056602,16.15,-7.87,31.350235849056602,-0.0,-7.87,12,20,both,Y,FUNDACION_SUP,_,True
LT1:200-I:01,31.55070754716981,16.15,-7.87,31.55070754716981,-0.0,-7.87,12,20,both,Y,FUNDACION_SUP,_,True
LT1:200-I:01,31.75117924528302,16.15,-7.87,31.75117924528302,-0.0,-7.87,12,20,both,Y,FUNDACION_SUP,_,True
LT1:200-I:01,31.951650943396228,16.15,-7.87,31.951650943396228,-0.0,-7.87,12,20,both,Y,FUNDACION_SUP,_,True
LT1:200-I:01,32.152122641509436,16.15,-7.87,32.152122641509436,-0.0,-7.87,12,20,both,Y,FUNDACION_SUP,_,True
LT1:200-I:01,32.35259433962264,16.15,-7.87,32.35259433962264,-0.0,-7.87,12,20,both,Y,FUNDACION_SUP,_,True
LT1:200-I:01,32.553066037735846,16.15,-7.87,32.553066037735846,-0.0,-7.87,12,20,both,Y,FUNDACION_SUP,_,True
LT1:200-I:01,32.75353773584906,16.15,-7.87,32.75353773584906,-0.0,-7.87,12,20,both,Y,FUNDACION_SUP,_,True
LT1:200-I:01,32.95400943396226,16.15,-7.87,32.95400943396226,-0.0,-7.87,12,20,both,Y,FUNDACION_SUP,_,True
LT1:200-I:01,33.154481132075475,16.15,-7.87,33.154481132075475,-0.0,-7.87,12,20,both,Y,FUNDACION_SUP,_,True
LT1:200-I:01,33.35495283018868,16.15,-7.87,33.35495283018868,-0.0,-7.87,12,20,both,Y,FUNDACION_SUP,_,True
LT1:200-I:01,33.555424528301884,16.15,-7.87,33.555424528301884,-0.0,-7.87,12,20,both,Y,FUNDACION_SUP,_,True
LT1:200-I:01,33.755896226415096,16.15,-7.87,33.755896226415096,-0.0,-7.87,12,20,both,Y,FUNDACION_SUP,_,True
LT1:200-I:01,33.9563679245283,16.15,-7.87,33.9563679245283,-0.0,-7.87,12,20,both,Y,FUNDACION_SUP,_,True
