code,building,drawing,sheet,beam_ids,physical_bar_id,bar_layer,bar_count,diameter_mm,length_cm,start_axis,end_axis,start_station_cm,end_station_cm,anchor_left_cm,anchor_right_cm,continuity_across_support,detail_reference,confidence,source,classification,beam_kind,note,resolution,zone_type,spacing_cm,count
LT1:400:01,LT1,2017_67-400-Model,400,0101,0101-F'-base,TOP_BASE,2,22,1150,1b,8,,,,,False,TP4_PLAN_002,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,L~1150 cm segun trans. plan.,RESOLVED_METADATA,,,
LT1:400:02,LT1,2017_67-400-Model,400,0101,0101-+F'-ext-der,TOP_ADDITIONAL,2,22,800,,8,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' extremo derecho L~800 cm.,RESOLVED_METADATA,,,
LT1:400:03,LT1,2017_67-400-Model,400,0101,0101-+F-central,BOTTOM_ADDITIONAL,2,22,600,,,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F zona central L~600 cm.,RESOLVED_METADATA,,,
LT1:400:04,LT1,2017_67-400-Model,400,0101,0101-F-base,BOTTOM_BASE,2,22,1150,1b,8,,,,,False,TP4_PLAN_002,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F base L~1150 cm.,RESOLVED_METADATA,,,
LT1:400:05,LT1,2017_67-400-Model,400,0102,0102-F'-izq,TOP_BASE,2,18,460,E',F,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F' extremo izquierdo L~460 cm.,RESOLVED_METADATA,,,
LT1:400:06,LT1,2017_67-400-Model,400,0102,0102-F'-continuo,TOP_BASE,2,18,1200,E',Ga,,,,,True,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,2B18 continuo/intermedio L~1200 cm.,RESOLVED_METADATA,,,
LT1:400:07,LT1,2017_67-400-Model,400,0102,0102-F'-der,TOP_BASE,2,18,800,,Ga,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F' extremo derecho L~800 cm.,RESOLVED_METADATA,,,
LT1:400:08,LT1,2017_67-400-Model,400,0102,0102-F-izq,BOTTOM_BASE,2,18,800,E',F,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F inferior L~800 cm.,RESOLVED_METADATA,,,
LT1:400:09,LT1,2017_67-400-Model,400,0102,0102-F-continuo,BOTTOM_BASE,2,18,1200,E',Ga,,,,,True,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F inferior continuo L~1200 cm.,RESOLVED_METADATA,,,
LT1:400:10,LT1,2017_67-400-Model,400,0102,0102-F-der,BOTTOM_BASE,2,18,800,,Ga,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F inferior extremo derecho L~800 cm.,RESOLVED_METADATA,,,
LT1:400:11,LT1,2017_67-400-Model,400,V100,V100-F'-base,TOP_BASE,2,22,1200,3,2,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F' base tramo 3-2 (V100) L~1200 cm.,RESOLVED_METADATA,,,
LT1:400:12,LT1,2017_67-400-Model,400,V101,V101-F'-base,TOP_BASE,2,22,700,2,1,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F' base tramo 2-1 (V101) L~700 cm.,RESOLVED_METADATA,,,
LT1:400:13,LT1,2017_67-400-Model,400,V100,V100-+F'-ext-izq,TOP_ADDITIONAL,2,22,700,3,,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' apoyo/extremo izquierdo L~700 cm.,RESOLVED_METADATA,,,
LT1:400:14,LT1,2017_67-400-Model,400,V100;V101,V100V101-+F'-apoyo,TOP_ADDITIONAL,2,22,1100,2,,,,,,True,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' apoyo intermedio eje 2 L~1100 cm (continua).,RESOLVED_METADATA,,,
LT1:400:15,LT1,2017_67-400-Model,400,V100;V101,V100V101-+F'-apoyo-4,TOP_ADDITIONAL,4,22,400,2,,,,,,True,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' 4B22 apoyo intermedio L~400 cm (continua).,RESOLVED_METADATA,,,
LT1:400:16,LT1,2017_67-400-Model,400,V101,V101-+F'-der-a,TOP_ADDITIONAL,2,22,,,1,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' der 2B22 L~400-450 cm (rango).,RESOLVED_METADATA,,,
