code,building,drawing,sheet,floor,layer,direction,zone_text,zone_kind,x1_m,x2_m,y1_m,y2_m,axis,pano_ids,diameter_mm,spacing_cm,length_cm,classification,status,resolution,note,category,bar_count,level_start,level_end,orientation,lap_anchorage,face_edge,wall_parents,source,geometry_pending,record_type,section,bar_type,column_tags,n_columns,beam_id,axes_text,group,kind,longitudinal,stirrups,detail_reference,confidence,beam_ids,physical_bar_id,bar_layer,start_axis,end_axis,start_station_cm,end_station_cm,anchor_left_cm,anchor_right_cm,continuity_across_support,beam_kind,zone_type,count,part,notation,levels
LT2:200I:01,LT2,2024_22-200I-Model,200I,FUNDACION INFERIOR (200I),lower,X,general: todos los ejes horizontales,GENERAL,0.0,31.475,0.0,16.15,,,12,20,,MESH,EXACT,RESOLVED,barras paralelas a los ejes horizontales (X); malla inferior de fundaciones.,mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:200I:02,LT2,2024_22-200I-Model,200I,FUNDACION INFERIOR (200I),lower,Y,general: todos los ejes verticales,GENERAL,0.0,31.475,0.0,16.15,,,12,20,,MESH,EXACT,RESOLVED,barras paralelas a los ejes verticales (Y).,mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:200I:03,LT2,2024_22-200I-Model,200I,FUNDACION INFERIOR (200I),lower,BOTH,general: traba asociada,GENERAL,0.0,31.475,0.0,16.15,,,10,20,,LOCAL,EXACT,RESOLVED,traba entre cuadrados de fundacion; Φ10@20.,mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:200I:07,LT2,2024_22-200I-Model,200I,FUNDACION INFERIOR (200I),lower,BOTH,esquinas del eje A',BAND,0.0,0.0,0.0,16.15,A',,22,10,,MESH,NEEDS_EXACT_ZONE_MAPPING,RESOLVED,refuerzo de esquinas sobre eje A'; excepcion.,mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:200S:01,LT2,2024_22-200S-Model,200S,FUNDACION SUPERIOR (200S),upper,X,general: todos los ejes horizontales,GENERAL,0.0,31.475,0.0,16.15,,,12,20,,MESH,EXACT,RESOLVED,,mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:200S:02,LT2,2024_22-200S-Model,200S,FUNDACION SUPERIOR (200S),upper,Y,general: todos los ejes verticales,GENERAL,0.0,31.475,0.0,16.15,,,12,20,,MESH,EXACT,RESOLVED,,mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:200S:03,LT2,2024_22-200S-Model,200S,FUNDACION SUPERIOR (200S),upper,BOTH,general: traba asociada,GENERAL,0.0,31.475,0.0,16.15,,,10,20,,LOCAL,EXACT,RESOLVED,traba entre cuadrados de fundacion; Φ10@20.,mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:200S:04,LT2,2024_22-200S-Model,200S,FUNDACION SUPERIOR (200S),upper,BOTH,esquinas del eje A' (Φ18@20),BAND,0.0,0.0,0.0,16.15,A',,18,20,,MESH,NEEDS_EXACT_ZONE_MAPPING,RESOLVED,regla de esquina independiente del eje A'; no se equivale a las otras.,mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:200S:05,LT2,2024_22-200S-Model,200S,FUNDACION SUPERIOR (200S),upper,BOTH,esquinas del eje A' (Φ12@10),BAND,0.0,0.0,0.0,16.15,A',,12,10,,MESH,NEEDS_EXACT_ZONE_MAPPING,RESOLVED,regla de esquina independiente del eje A'; no se equivale a las otras.,mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:200S:06,LT2,2024_22-200S-Model,200S,FUNDACION SUPERIOR (200S),upper,BOTH,esquinas del eje A' (Φ16@10),BAND,0.0,0.0,0.0,16.15,A',,16,10,,MESH,NEEDS_EXACT_ZONE_MAPPING,RESOLVED,regla de esquina independiente del eje A'; no se equivale a las otras.,mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
