caso,P_kN,kappa_rad_m,M_kN_m
P=0,0.0,0.0004,62.38816
P=0,0.0,0.0008,124.564541
P=0,0.0,0.0012,186.524013
P=0,0.0,0.0016,248.25994
P=0,0.0,0.002,309.765623
P=0,0.0,0.0024,371.033978
P=0,0.0,0.0028,432.057502
P=0,0.0,0.0032,492.828231
P=0,0.0,0.0036,553.337706
P=0,0.0,0.004,613.576919
P=0,0.0,0.0044,643.232939
P=0,0.0,0.0048,661.265807
P=0,0.0,0.0052,679.071508
P=0,0.0,0.0056,696.71504
P=0,0.0,0.006,707.05163
P=0,0.0,0.0064,714.565859
P=0,0.0,0.0068,722.05177
P=0,0.0,0.0072,729.508923
P=0,0.0,0.0076,736.936867
P=0,0.0,0.008,744.335135
P=0,0.0,0.0084,751.703248
P=0,0.0,0.0088,758.9587
P=0,0.0,0.0092,764.784642
P=0,0.0,0.0096,767.332283
P=0,0.0,0.01,769.869681
P=0,0.0,0.0104,772.396673
P=0,0.0,0.0108,774.913132
P=0,0.0,0.0112,777.418927
P=0,0.0,0.0116,779.913926
P=0,0.0,0.012,782.397992
P=0,0.0,0.0124,784.870986
P=0,0.0,0.0128,787.332764
P=0,0.0,0.0132,789.783181
P=0,0.0,0.0136,792.222085
P=0,0.0,0.014,794.649325
P=0,0.0,0.0144,797.064741
P=0,0.0,0.0148,799.468173
P=0,0.0,0.0152,801.859454
P=0,0.0,0.0156,804.044181
P=0,0.0,0.016,806.219675
P=0,0.0,0.0164,808.387323
P=0,0.0,0.0168,810.546891
P=0,0.0,0.0172,812.698259
P=0,0.0,0.0176,814.841301
P=0,0.0,0.018,816.975889
P=0,0.0,0.0184,819.10189
P=0,0.0,0.0188,821.219167
P=0,0.0,0.0192,823.327581
P=0,0.0,0.0196,825.426985
P=0,0.0,0.02,827.517232
P=0,0.0,0.0204,828.994815
P=0,0.0,0.0208,829.992894
P=0,0.0,0.0212,830.986836
P=0,0.0,0.0216,831.976526
P=0,0.0,0.022,832.961907
P=0,0.0,0.0224,833.942925
P=0,0.0,0.0228,834.919521
P=0,0.0,0.0232,835.891637
P=0,0.0,0.0236,836.859212
P=0,0.0,0.024,837.822186
P=0,0.0,0.0244,838.780494
P=0,0.0,0.0248,839.734072
P=0,0.0,0.0252,840.682853
P=0,0.0,0.0256,841.626769
P=0,0.0,0.026,842.56575
P=0,0.0,0.0264,843.499724
P=0,0.0,0.0268,844.428616
P=0,0.0,0.0272,845.352351
P=0,0.0,0.0276,846.270851
P=0,0.0,0.028,847.184035
P=0,0.0,0.0284,848.091821
P=0,0.0,0.0288,848.938753
P=0,0.0,0.0292,849.732979
P=0,0.0,0.0296,850.526004
P=0,0.0,0.03,851.317816
P=0,0.0,0.0304,852.108402
P=0,0.0,0.0308,852.897754
P=0,0.0,0.0312,853.68586
P=0,0.0,0.0316,854.47271
P=0,0.0,0.032,855.258292
P=0,0.0,0.0324,856.042596
P=0,0.0,0.0328,856.825609
P=0,0.0,0.0332,857.607321
P=0,0.0,0.0336,858.387719
P=0,0.0,0.034,859.166792
P=0,0.0,0.0344,859.944528
P=0,0.0,0.0348,860.720913
P=0,0.0,0.0352,861.495936
P=0,0.0,0.0356,862.223679
P=0,0.0,0.036,862.940723
P=0,0.0,0.0364,863.657311
P=0,0.0,0.0368,864.373411
P=0,0.0,0.0372,865.089018
P=0,0.0,0.0376,865.804125
P=0,0.0,0.038,866.51873
P=0,0.0,0.0384,867.232825
P=0,0.0,0.0388,867.946405
P=0,0.0,0.0392,868.659465
P=0,0.0,0.0396,869.372
P=0,0.0,0.04,870.084003
P=0,0.0,0.0404,870.795469
P=0,0.0,0.0408,871.506391
P=0,0.0,0.0412,872.216764
P=0,0.0,0.0416,872.926581
P=0,0.0,0.042,873.635837
P=0,0.0,0.0424,874.344524
P=0,0.0,0.0428,875.052636
P=0,0.0,0.0432,875.760166
P=0,0.0,0.0436,876.467108
P=0,0.0,0.044,877.173454
P=0,0.0,0.0444,877.879197
P=0,0.0,0.0448,878.58433
P=0,0.0,0.0452,879.288846
P=0,0.0,0.0456,879.992736
P=0,0.0,0.046,880.695993
P=0,0.0,0.0464,881.398609
P=0,0.0,0.0468,882.100576
P=0,0.0,0.0472,882.801885
P=0,0.0,0.0476,883.502527
P=0,0.0,0.048,884.202495
P=0,0.0,0.0484,884.901778
P=0,0.0,0.0488,885.600368
P=0,0.0,0.0492,886.298256
P=0,0.0,0.0496,886.99543
P=0,0.0,0.05,887.691883
P=0,0.0,0.0504,888.387603
P=0,0.0,0.0508,889.082579
P=0,0.0,0.0512,889.776802
P=0,0.0,0.0516,890.47026
P=0,0.0,0.052,891.162942
P=0,0.0,0.0524,891.854835
P=0,0.0,0.0528,892.528774
P=0,0.0,0.0532,893.182867
P=0,0.0,0.0536,893.836911
P=0,0.0,0.054,894.490902
P=0,0.0,0.0544,895.144843
P=0,0.0,0.0548,895.79873
P=0,0.0,0.0552,896.452566
P=0,0.0,0.0556,897.106348
P=0,0.0,0.056,897.760077
P=0,0.0,0.0564,898.413752
P=0,0.0,0.0568,899.067373
P=0,0.0,0.0572,899.720939
P=0,0.0,0.0576,900.374451
P=0,0.0,0.058,901.027907
P=0,0.0,0.0584,901.681307
P=0,0.0,0.0588,902.334651
P=0,0.0,0.0592,902.987939
P=0,0.0,0.0596,903.641169
P=0,0.0,0.06,904.294342
P=0,0.0,0.0604,904.947456
P=0,0.0,0.0608,905.600513
P=0,0.0,0.0612,906.25351
P=0,0.0,0.0616,906.906448
P=0,0.0,0.062,907.559327
P=0,0.0,0.0624,908.212145
P=0,0.0,0.0628,908.864902
P=0,0.0,0.0632,909.517598
P=0,0.0,0.0636,910.170233
P=0,0.0,0.064,910.822805
P=0,0.0,0.0644,911.475314
P=0,0.0,0.0648,912.12776
P=0,0.0,0.0652,912.780142
P=0,0.0,0.0656,913.432461
P=0,0.0,0.066,914.084714
P=0,0.0,0.0664,914.736902
P=0,0.0,0.0668,915.389023
P=0,0.0,0.0672,916.041079
P=0,0.0,0.0676,916.693067
P=0,0.0,0.068,917.344988
P=0,0.0,0.0684,917.99684
P=0,0.0,0.0688,918.648624
P=0,0.0,0.0692,919.300338
P=0,0.0,0.0696,919.951983
P=0,0.0,0.07,920.603556
P=0,0.0,0.0704,921.255059
P=0,0.0,0.0708,921.906489
P=0,0.0,0.0712,922.255908
P=-2500,-2500.0,0.0004,297.904961
P=-2500,-2500.0,0.0008,484.121649
P=-2500,-2500.0,0.0012,591.243186
P=-2500,-2500.0,0.0016,674.911366
P=-2500,-2500.0,0.002,748.668451
P=-2500,-2500.0,0.0024,816.437769
P=-2500,-2500.0,0.0028,880.680866
P=-2500,-2500.0,0.0032,942.611913
P=-2500,-2500.0,0.0036,1003.312302
P=-2500,-2500.0,0.004,1062.18912
P=-2500,-2500.0,0.0044,1120.157101
P=-2500,-2500.0,0.0048,1177.469639
P=-2500,-2500.0,0.0052,1228.567374
P=-2500,-2500.0,0.0056,1248.15916
P=-2500,-2500.0,0.006,1267.470704
P=-2500,-2500.0,0.0064,1286.492353
P=-2500,-2500.0,0.0068,1304.272648
P=-2500,-2500.0,0.0072,1321.524981
P=-2500,-2500.0,0.0076,1334.863472
P=-2500,-2500.0,0.008,1343.894429
P=-2500,-2500.0,0.0084,1352.73692
P=-2500,-2500.0,0.0088,1361.047975
P=-2500,-2500.0,0.0092,1368.479109
P=-2500,-2500.0,0.0096,1375.755071
P=-2500,-2500.0,0.01,1382.870353
P=-2500,-2500.0,0.0104,1389.81913
P=-2500,-2500.0,0.0108,1396.595174
P=-2500,-2500.0,0.0112,1402.629258
P=-2500,-2500.0,0.0116,1408.414485
P=-2500,-2500.0,0.012,1414.088628
P=-2500,-2500.0,0.0124,1419.64788
P=-2500,-2500.0,0.0128,1424.865693
P=-2500,-2500.0,0.0132,1427.430713
P=-2500,-2500.0,0.0136,1429.15261
P=-2500,-2500.0,0.014,1430.846173
P=-2500,-2500.0,0.0144,1432.510426
P=-2500,-2500.0,0.0148,1434.144641
P=-2500,-2500.0,0.0152,1435.443436
P=-5000,-5000.0,0.0004,286.116248
P=-5000,-5000.0,0.0008,563.304527
P=-5000,-5000.0,0.0012,776.817395
P=-5000,-5000.0,0.0016,918.937736
P=-5000,-5000.0,0.002,1028.281041
P=-5000,-5000.0,0.0024,1119.141006
P=-5000,-5000.0,0.0028,1199.469063
P=-5000,-5000.0,0.0032,1272.042477
P=-5000,-5000.0,0.0036,1339.232106
P=-5000,-5000.0,0.004,1402.919256
P=-5000,-5000.0,0.0044,1461.946538
P=-5000,-5000.0,0.0048,1519.34496
P=-5000,-5000.0,0.0052,1573.26394
P=-5000,-5000.0,0.0056,1625.331512
P=-5000,-5000.0,0.006,1675.699142
P=-5000,-5000.0,0.0064,1710.429732
P=-5000,-5000.0,0.0068,1727.509771
P=-5000,-5000.0,0.0072,1743.156678
P=-5000,-5000.0,0.0076,1757.014656
P=-5000,-5000.0,0.008,1769.695087
P=-5000,-5000.0,0.0084,1776.671157
P=-5000,-5000.0,0.0088,1780.082916
P=-5000,-5000.0,0.0092,1782.810162
P=-5000,-5000.0,0.0096,1783.559746
P=-7500,-7500.0,0.0004,272.415193
P=-7500,-7500.0,0.0008,535.021564
P=-7500,-7500.0,0.0012,787.215129
P=-7500,-7500.0,0.0016,1002.336937
P=-7500,-7500.0,0.002,1158.595602
P=-7500,-7500.0,0.0024,1281.263311
P=-7500,-7500.0,0.0028,1381.971326
P=-7500,-7500.0,0.0032,1468.626959
P=-7500,-7500.0,0.0036,1544.457079
P=-7500,-7500.0,0.004,1612.202163
P=-7500,-7500.0,0.0044,1673.07848
P=-7500,-7500.0,0.0048,1727.200018
P=-7500,-7500.0,0.0052,1773.179248
P=-7500,-7500.0,0.0056,1812.92216
P=-7500,-7500.0,0.006,1834.744477
P=-7500,-7500.0,0.0064,1849.608298
P=-7500,-7500.0,0.0068,1859.602769
P=-7500,-7500.0,0.0072,1865.190249
P=-7500,-7500.0,0.0076,1866.022979
P=-10000,-10000.0,0.0004,256.011378
P=-10000,-10000.0,0.0008,501.035358
P=-10000,-10000.0,0.0012,734.301392
P=-10000,-10000.0,0.0016,954.933429
P=-10000,-10000.0,0.002,1154.643778
P=-10000,-10000.0,0.0024,1307.670632
P=-10000,-10000.0,0.0028,1427.941007
P=-10000,-10000.0,0.0032,1525.852618
P=-10000,-10000.0,0.0036,1605.508321
P=-10000,-10000.0,0.004,1664.038005
P=-10000,-10000.0,0.0044,1699.078097
P=-10000,-10000.0,0.0048,1709.84849
P=-10000,-10000.0,0.0052,1710.397841
