nivel,nivel_combinado,tag_original,element_tag,tipo,w_kN_m,L_m,q_kN,area_m2
PISO_1,L1,200028,200028,viga,4.9395,10.0,49.395,24.6975
PISO_1,L1,200029,200029,viga,9.561375,10.0,95.61375,47.806875
PISO_1,L1,200030,200030,viga,4.621875,10.0,46.21875,23.109375
PISO_1,L1,200031,200031,viga,4.9395,10.0,49.395,24.6975
PISO_1,L1,200032,200032,viga,9.561375,10.0,95.61375,47.806875
PISO_1,L1,200034,200034,viga,4.9395,10.0,49.395,24.6975
PISO_1,L1,200035,200035,viga,9.561375,10.0,95.61375,47.806875
PISO_1,L1,200036,200036,viga,4.621875,10.0,46.21875,23.109375
PISO_1,L1,200037,200037,viga,4.9395,10.0,49.395,24.6975
PISO_1,L1,200038,200038,viga,9.561375,10.0,95.61375,47.806875
PISO_1,L1,200039,200039,viga,4.621875,10.0,46.21875,23.109375
PISO_1,L1,200040,200040,viga,0.625,5.0,3.125,1.5625
PISO_1,L1,200041,200041,viga,1.25,5.0,6.25,3.125
PISO_1,L1,200042,200042,viga,0.625,5.0,3.125,1.5625
PISO_1,L1,200043,200043,viga,4.45,8.9,39.605,19.8025
PISO_1,L1,200044,200044,viga,8.9,8.9,79.21,39.605
PISO_1,L1,200045,200045,viga,8.9,8.9,79.21,39.605
PISO_1,L1,200046,200046,viga,8.9,8.9,79.21,39.605
PISO_1,L1,200047,200047,viga,6.598876404494,8.9,58.73,29.365
PISO_1,L1,200048,200048,viga,2.148876404494,8.9,19.125,9.5625
PISO_1,L1,200049,200049,viga,3.625,7.25,26.28125,13.140625
PISO_1,L1,200050,200050,viga,7.25,7.25,52.5625,26.28125
PISO_1,L1,200051,200051,viga,7.25,7.25,52.5625,26.28125
PISO_1,L1,200052,200052,viga,7.25,7.25,52.5625,26.28125
PISO_1,L1,200053,200053,viga,5.693965517241,7.25,41.28125,20.640625
PISO_1,L1,200054,200054,viga,2.068965517241,7.25,15.0,7.5
PISO_2,L2,200055,200055,viga,4.9395,10.0,49.395,24.6975
PISO_2,L2,200056,200056,viga,9.561375,10.0,95.61375,47.806875
PISO_2,L2,200057,200057,viga,4.621875,10.0,46.21875,23.109375
PISO_2,L2,200058,200058,viga,4.9395,10.0,49.395,24.6975
PISO_2,L2,200059,200059,viga,9.561375,10.0,95.61375,47.806875
PISO_2,L2,200061,200061,viga,4.9395,10.0,49.395,24.6975
PISO_2,L2,200062,200062,viga,9.561375,10.0,95.61375,47.806875
PISO_2,L2,200064,200064,viga,4.9395,10.0,49.395,24.6975
PISO_2,L2,200065,200065,viga,9.561375,10.0,95.61375,47.806875
PISO_2,L2,200066,200066,viga,4.621875,10.0,46.21875,23.109375
PISO_2,L2,200067,200067,viga,0.625,5.0,3.125,1.5625
PISO_2,L2,200068,200068,viga,1.25,5.0,6.25,3.125
PISO_2,L2,200069,200069,viga,0.625,5.0,3.125,1.5625
PISO_2,L2,200070,200070,viga,4.45,8.9,39.605,19.8025
PISO_2,L2,200071,200071,viga,8.9,8.9,79.21,39.605
PISO_2,L2,200072,200072,viga,8.9,8.9,79.21,39.605
PISO_2,L2,200073,200073,viga,8.9,8.9,79.21,39.605
PISO_2,L2,200074,200074,viga,6.598876404494,8.9,58.73,29.365
PISO_2,L2,200075,200075,viga,2.148876404494,8.9,19.125,9.5625
PISO_2,L2,200076,200076,viga,3.625,7.25,26.28125,13.140625
PISO_2,L2,200077,200077,viga,7.25,7.25,52.5625,26.28125
PISO_2,L2,200078,200078,viga,7.25,7.25,52.5625,26.28125
PISO_2,L2,200079,200079,viga,7.25,7.25,52.5625,26.28125
PISO_2,L2,200080,200080,viga,5.693965517241,7.25,41.28125,20.640625
PISO_2,L2,200081,200081,viga,2.068965517241,7.25,15.0,7.5
PISO_3,L3,200001,200001,viga,4.9395,10.0,49.395,24.6975
PISO_3,L3,200002,200002,viga,4.9395,10.0,49.395,24.6975
PISO_3,L3,200003,200003,viga,4.9395,10.0,49.395,24.6975
PISO_3,L3,200004,200004,viga,4.9395,10.0,49.395,24.6975
PISO_3,L3,200005,200005,viga,0.625,5.0,3.125,1.5625
PISO_3,L3,200006,200006,viga,9.561375,10.0,95.61375,47.806875
PISO_3,L3,200007,200007,viga,9.561375,10.0,95.61375,47.806875
PISO_3,L3,200008,200008,viga,9.561375,10.0,95.61375,47.806875
PISO_3,L3,200009,200009,viga,9.561375,10.0,95.61375,47.806875
PISO_3,L3,200010,200010,viga,1.25,5.0,6.25,3.125
PISO_3,L3,200015,200015,viga,0.625,5.0,3.125,1.5625
PISO_3,L3,200016,200016,viga,4.45,8.9,39.605,19.8025
PISO_3,L3,200017,200017,viga,3.625,7.25,26.28125,13.140625
PISO_3,L3,200018,200018,viga,8.9,8.9,79.21,39.605
PISO_3,L3,200019,200019,viga,7.25,7.25,52.5625,26.28125
PISO_3,L3,200020,200020,viga,8.9,8.9,79.21,39.605
PISO_3,L3,200021,200021,viga,7.25,7.25,52.5625,26.28125
PISO_3,L3,200022,200022,viga,8.9,8.9,79.21,39.605
PISO_3,L3,200023,200023,viga,7.25,7.25,52.5625,26.28125
PISO_3,L3,200024,200024,viga,6.598876404494,8.9,58.73,29.365
PISO_3,L3,200025,200025,viga,5.693965517241,7.25,41.28125,20.640625
PISO_3,L3,200026,200026,viga,2.148876404494,8.9,19.125,9.5625
PISO_3,L3,200027,200027,viga,2.068965517241,7.25,15.0,7.5
PISO_4,L4,200082,200082,viga,4.9395,10.0,49.395,24.6975
PISO_4,L4,200083,200083,viga,9.561375,10.0,95.61375,47.806875
PISO_4,L4,200085,200085,viga,4.9395,10.0,49.395,24.6975
PISO_4,L4,200086,200086,viga,9.561375,10.0,95.61375,47.806875
PISO_4,L4,200088,200088,viga,4.9395,10.0,49.395,24.6975
PISO_4,L4,200089,200089,viga,9.561375,10.0,95.61375,47.806875
PISO_4,L4,200091,200091,viga,4.9395,10.0,49.395,24.6975
PISO_4,L4,200092,200092,viga,9.561375,10.0,95.61375,47.806875
PISO_4,L4,200094,200094,viga,0.625,5.0,3.125,1.5625
PISO_4,L4,200095,200095,viga,1.25,5.0,6.25,3.125
PISO_4,L4,200096,200096,viga,0.625,5.0,3.125,1.5625
PISO_4,L4,200097,200097,viga,4.45,8.9,39.605,19.8025
PISO_4,L4,200098,200098,viga,8.9,8.9,79.21,39.605
PISO_4,L4,200099,200099,viga,8.9,8.9,79.21,39.605
PISO_4,L4,200100,200100,viga,8.9,8.9,79.21,39.605
PISO_4,L4,200101,200101,viga,6.598876404494,8.9,58.73,29.365
PISO_4,L4,200102,200102,viga,2.148876404494,8.9,19.125,9.5625
PISO_4,L4,200103,200103,viga,3.625,7.25,26.28125,13.140625
PISO_4,L4,200104,200104,viga,7.25,7.25,52.5625,26.28125
PISO_4,L4,200105,200105,viga,7.25,7.25,52.5625,26.28125
PISO_4,L4,200106,200106,viga,7.25,7.25,52.5625,26.28125
PISO_4,L4,200107,200107,viga,5.693965517241,7.25,41.28125,20.640625
PISO_4,L4,200108,200108,viga,2.068965517241,7.25,15.0,7.5
PISO_1,L1,200033,800201,segmento_fachada,4.621875,0.4,1.84875,0.924375
PISO_1,L1,200033,800203,segmento_fachada,4.621875,7.09,32.76909375,16.384546875
PISO_1,L1,200033,800204,segmento_fachada,4.621875,2.51,11.60090625,5.800453125
PISO_2,L2,200060,800205,segmento_fachada,4.621875,7.49,34.61784375,17.308921875
PISO_2,L2,200060,800206,segmento_fachada,4.621875,2.51,11.60090625,5.800453125
PISO_2,L2,200063,800207,segmento_fachada,4.621875,4.4,20.33625,10.168125
PISO_2,L2,200063,800209,segmento_fachada,4.621875,0.6,2.773125,1.3865625
PISO_2,L2,200063,800210,segmento_fachada,4.621875,5.0,23.109375,11.5546875
PISO_3,L3,200011,800211,segmento_fachada,4.621875,2.34,10.8151875,5.40759375
PISO_3,L3,200011,800212,segmento_fachada,4.621875,7.66,35.4035625,17.70178125
PISO_3,L3,200012,800213,segmento_fachada,4.621875,8.24,38.08425,19.042125
PISO_3,L3,200012,800215,segmento_fachada,4.621875,1.46,6.7479375,3.37396875
PISO_3,L3,200012,800216,segmento_fachada,4.621875,0.3,1.3865625,0.69328125
PISO_3,L3,200013,800217,segmento_fachada,4.621875,9.4,43.445625,21.7228125
PISO_3,L3,200013,800218,segmento_fachada,4.621875,0.6,2.773125,1.3865625
PISO_3,L3,200014,800219,segmento_fachada,4.621875,0.3,1.3865625,0.69328125
PISO_3,L3,200014,800220,segmento_fachada,4.621875,9.7,44.8321875,22.41609375
PISO_4,L4,200084,800221,segmento_fachada,4.621875,1.31,6.05465625,3.027328125
PISO_4,L4,200084,800222,segmento_fachada,4.621875,8.69,40.16409375,20.082046875
PISO_4,L4,200087,800223,segmento_fachada,4.621875,9.4,43.445625,21.7228125
PISO_4,L4,200087,800224,segmento_fachada,4.621875,0.6,2.773125,1.3865625
PISO_4,L4,200090,800225,segmento_fachada,4.621875,9.4,43.445625,21.7228125
PISO_4,L4,200090,800226,segmento_fachada,4.621875,0.6,2.773125,1.3865625
