tag,familia,tipo,indice,nodo_bajo,nodo_alto,nivel_bajo,nivel_alto,x,y,A,Iy,Iz,J,nota
70001,caja_oeste,muro_Y,1,700001,700002,B1,L1,0.998,2.9,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-05; x=0.998; e=0.30 ASSUMED_FOR_MODEL
70002,caja_oeste,muro_Y,1,700002,700003,L1,L2,0.998,2.9,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-05; x=0.998; e=0.30 ASSUMED_FOR_MODEL
70003,caja_oeste,muro_Y,1,700003,700004,L2,L3,0.998,2.9,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-05; x=0.998; e=0.30 ASSUMED_FOR_MODEL
70004,caja_oeste,muro_Y,1,700004,700005,L3,L4,0.998,2.9,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-05; x=0.998; e=0.30 ASSUMED_FOR_MODEL
70005,caja_oeste,muro_Y,1,700005,226,L4,ROOF,0.998,2.9,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-05; x=0.998; e=0.30 ASSUMED_FOR_MODEL
70006,caja_oeste,muro_Y,2,700006,700007,B1,L1,0.998,7.92,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-05; x=0.998; e=0.30 ASSUMED_FOR_MODEL
70007,caja_oeste,muro_Y,2,700007,700008,L1,L2,0.998,7.92,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-05; x=0.998; e=0.30 ASSUMED_FOR_MODEL
70008,caja_oeste,muro_Y,2,700008,700009,L2,L3,0.998,7.92,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-05; x=0.998; e=0.30 ASSUMED_FOR_MODEL
70009,caja_oeste,muro_Y,2,700009,700010,L3,L4,0.998,7.92,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-05; x=0.998; e=0.30 ASSUMED_FOR_MODEL
70010,caja_oeste,muro_Y,2,700010,227,L4,ROOF,0.998,7.92,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-05; x=0.998; e=0.30 ASSUMED_FOR_MODEL
70011,caja_este,muro_Y,1,700011,700012,B1,L1,16.546,2.9,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-06; x=16.546; e=0.30 ASSUMED_FOR_MODEL
70012,caja_este,muro_Y,1,700012,700013,L1,L2,16.546,2.9,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-06; x=16.546; e=0.30 ASSUMED_FOR_MODEL
70013,caja_este,muro_Y,1,700013,700014,L2,L3,16.546,2.9,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-06; x=16.546; e=0.30 ASSUMED_FOR_MODEL
70014,caja_este,muro_Y,1,700014,700015,L3,L4,16.546,2.9,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-06; x=16.546; e=0.30 ASSUMED_FOR_MODEL
70015,caja_este,muro_Y,1,700015,256,L4,ROOF,16.546,2.9,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-06; x=16.546; e=0.30 ASSUMED_FOR_MODEL
70016,caja_este,muro_Y,2,700016,700017,B1,L1,16.546,7.92,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-06; x=16.546; e=0.30 ASSUMED_FOR_MODEL
70017,caja_este,muro_Y,2,700017,700018,L1,L2,16.546,7.92,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-06; x=16.546; e=0.30 ASSUMED_FOR_MODEL
70018,caja_este,muro_Y,2,700018,700019,L2,L3,16.546,7.92,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-06; x=16.546; e=0.30 ASSUMED_FOR_MODEL
70019,caja_este,muro_Y,2,700019,700020,L3,L4,16.546,7.92,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-06; x=16.546; e=0.30 ASSUMED_FOR_MODEL
70020,caja_este,muro_Y,2,700020,257,L4,ROOF,16.546,7.92,0.7529999999999999,0.005647499999999999,1.5813250999999997,0.021739500895379734,Bajo VI-06; x=16.546; e=0.30 ASSUMED_FOR_MODEL
70021,pilastra,pilastra,1,700021,700022,B1,L1,7.596,2.9,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70022,pilastra,pilastra,1,700022,700023,L1,L2,7.596,2.9,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70023,pilastra,pilastra,1,700023,700024,L2,L3,7.596,2.9,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70024,pilastra,pilastra,1,700024,700025,L3,L4,7.596,2.9,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
