beam_id,x1_m,y1_m,x2_m,y2_m,level,section,stage,source,notes
L1_V001,1.85,0.0,3.75,0.0,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V002,3.75,0.0,7.5,0.0,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V003,7.5,0.0,11.25,0.0,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V004,3.75,8.9,7.5,8.9,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V005,7.5,8.9,11.25,8.9,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V006,1.85,16.15,3.75,16.15,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V007,3.75,16.15,7.5,16.15,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V008,7.5,16.15,11.25,16.15,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V009,3.75,0.0,3.75,4.265,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V010,3.75,4.265,3.75,8.9,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V011,3.75,8.9,3.75,11.885,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V012,3.75,11.885,3.75,16.15,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V013,7.5,0.0,7.5,4.265,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V014,7.5,4.265,7.5,8.9,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V015,7.5,8.9,7.5,11.885,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V016,7.5,11.885,7.5,16.15,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V017,11.25,0.0,11.25,4.265,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V018,11.25,4.265,11.25,8.9,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V019,11.25,8.9,11.25,11.885,L1,V60x80,LT2,2024_22-101-Model.pdf,
L1_V020,11.25,11.885,11.25,16.15,L1,V60x80,LT2,2024_22-101-Model.pdf,
L2_V001,1.85,0.0,3.75,0.0,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V002,3.75,0.0,7.5,0.0,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V003,7.5,0.0,11.25,0.0,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V004,3.75,8.9,7.5,8.9,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V005,7.5,8.9,11.25,8.9,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V006,1.85,16.15,3.75,16.15,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V007,3.75,16.15,7.5,16.15,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V008,7.5,16.15,11.25,16.15,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V009,3.75,0.0,3.75,4.265,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V010,3.75,4.265,3.75,8.9,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V011,3.75,8.9,3.75,11.885,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V012,3.75,11.885,3.75,16.15,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V013,7.5,0.0,7.5,4.265,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V014,7.5,4.265,7.5,8.9,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V015,7.5,8.9,7.5,11.885,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V016,7.5,11.885,7.5,16.15,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V017,11.25,0.0,11.25,4.265,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V018,11.25,4.265,11.25,8.9,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V019,11.25,8.9,11.25,11.885,L2,V60x80,LT2,2024_22-101-Model.pdf,
L2_V020,11.25,11.885,11.25,16.15,L2,V60x80,LT2,2024_22-101-Model.pdf,
L3_V001,1.85,0.0,3.75,0.0,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V002,3.75,0.0,7.5,0.0,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V003,7.5,0.0,11.25,0.0,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V004,3.75,8.9,7.5,8.9,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V005,7.5,8.9,11.25,8.9,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V006,1.85,16.15,3.75,16.15,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V007,3.75,16.15,7.5,16.15,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V008,7.5,16.15,11.25,16.15,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V009,3.75,0.0,3.75,4.265,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V010,3.75,4.265,3.75,8.9,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V011,3.75,8.9,3.75,11.885,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V012,3.75,11.885,3.75,16.15,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V013,7.5,0.0,7.5,4.265,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V014,7.5,4.265,7.5,8.9,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V015,7.5,8.9,7.5,11.885,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V016,7.5,11.885,7.5,16.15,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V017,11.25,0.0,11.25,4.265,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V018,11.25,4.265,11.25,8.9,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V019,11.25,8.9,11.25,11.885,L3,V60x80,LT2,2024_22-101-Model.pdf,
L3_V020,11.25,11.885,11.25,16.15,L3,V60x80,LT2,2024_22-101-Model.pdf,
L4_V001,1.85,0.0,3.75,0.0,L4,V60x80,LT2,2024_22-101-Model.pdf,
L4_V002,3.75,0.0,7.5,0.0,L4,V60x80,LT2,2024_22-101-Model.pdf,
L4_V003,7.5,0.0,11.25,0.0,L4,V60x80,LT2,2024_22-101-Model.pdf,
L4_V004,3.75,8.9,7.5,8.9,L4,V60x80,LT2,2024_22-101-Model.pdf,
L4_V005,7.5,8.9,11.25,8.9,L4,V60x80,LT2,2024_22-101-Model.pdf,
