segment_id,parent_id,x_m,y_m,from_level,to_level,section,stage,source
P001_B1_L1,P001,11.250,0.000,B1,L1,P70x70,LT2,2024_22-101-Model.pdf
P001_L1_L2,P001,11.250,0.000,L1,L2,P70x70,LT2,2024_22-101-Model.pdf
P001_L2_L3,P001,11.250,0.000,L2,L3,P70x70,LT2,2024_22-101-Model.pdf
P001_L3_L4,P001,11.250,0.000,L3,L4,P70x70,LT2,2024_22-101-Model.pdf
P001_L4_ROOF,P001,11.250,0.000,L4,ROOF,P70x70,LT2,2024_22-102-Model.pdf
P002_B1_L1,P002,21.250,0.000,B1,L1,P70x70,LT2,2024_22-101-Model.pdf
P002_L1_L2,P002,21.250,0.000,L1,L2,P70x70,LT2,2024_22-101-Model.pdf
P002_L2_L3,P002,21.250,0.000,L2,L3,P70x70,LT2,2024_22-101-Model.pdf
P002_L3_L4,P002,21.250,0.000,L3,L4,P70x70,LT2,2024_22-101-Model.pdf
P002_L4_ROOF,P002,21.250,0.000,L4,ROOF,P70x70,LT2,2024_22-102-Model.pdf
P003_B1_L1,P003,31.250,0.000,B1,L1,P70x70,LT2,2024_22-101-Model.pdf
P003_L1_L2,P003,31.250,0.000,L1,L2,P70x70,LT2,2024_22-101-Model.pdf
P003_L2_L3,P003,31.250,0.000,L2,L3,P70x70,LT2,2024_22-101-Model.pdf
P003_L3_L4,P003,31.250,0.000,L3,L4,P70x70,LT2,2024_22-101-Model.pdf
P003_L4_ROOF,P003,31.250,0.000,L4,ROOF,P70x70,LT2,2024_22-102-Model.pdf
P004_B1_L1,P004,3.750,8.900,B1,L1,P70x70,LT2,2024_22-101-Model.pdf
P004_L1_L2,P004,3.750,8.900,L1,L2,P70x70,LT2,2024_22-101-Model.pdf
P004_L2_L3,P004,3.750,8.900,L2,L3,P70x70,LT2,2024_22-101-Model.pdf
P004_L3_L4,P004,3.750,8.900,L3,L4,P70x70,LT2,2024_22-101-Model.pdf
P004_L4_ROOF,P004,3.750,8.900,L4,ROOF,P70x70,LT2,2024_22-102-Model.pdf
P005_B1_L1,P005,11.250,8.900,B1,L1,P70x70,LT2,2024_22-101-Model.pdf
P005_L1_L2,P005,11.250,8.900,L1,L2,P70x70,LT2,2024_22-101-Model.pdf
P005_L2_L3,P005,11.250,8.900,L2,L3,P70x70,LT2,2024_22-101-Model.pdf
P005_L3_L4,P005,11.250,8.900,L3,L4,P70x70,LT2,2024_22-101-Model.pdf
P005_L4_ROOF,P005,11.250,8.900,L4,ROOF,P70x70,LT2,2024_22-102-Model.pdf
P006_B1_L1,P006,21.250,8.900,B1,L1,P70x70,LT2,2024_22-101-Model.pdf
P006_L1_L2,P006,21.250,8.900,L1,L2,P70x70,LT2,2024_22-101-Model.pdf
P006_L2_L3,P006,21.250,8.900,L2,L3,P70x70,LT2,2024_22-101-Model.pdf
P006_L3_L4,P006,21.250,8.900,L3,L4,P70x70,LT2,2024_22-101-Model.pdf
P006_L4_ROOF,P006,21.250,8.900,L4,ROOF,P70x70,LT2,2024_22-102-Model.pdf
P007_B1_L1,P007,31.250,8.900,B1,L1,P70x70,LT2,2024_22-101-Model.pdf
P007_L1_L2,P007,31.250,8.900,L1,L2,P70x70,LT2,2024_22-101-Model.pdf
P007_L2_L3,P007,31.250,8.900,L2,L3,P70x70,LT2,2024_22-101-Model.pdf
P007_L3_L4,P007,31.250,8.900,L3,L4,P70x70,LT2,2024_22-101-Model.pdf
P007_L4_ROOF,P007,31.250,8.900,L4,ROOF,P70x70,LT2,2024_22-102-Model.pdf
P008_B1_L1,P008,11.250,16.150,B1,L1,P70x70,LT2,2024_22-101-Model.pdf
P008_L1_L2,P008,11.250,16.150,L1,L2,P70x70,LT2,2024_22-101-Model.pdf
P008_L2_L3,P008,11.250,16.150,L2,L3,P70x70,LT2,2024_22-101-Model.pdf
P008_L3_L4,P008,11.250,16.150,L3,L4,P70x70,LT2,2024_22-101-Model.pdf
P008_L4_ROOF,P008,11.250,16.150,L4,ROOF,P70x70,LT2,2024_22-102-Model.pdf
P009_B1_L1,P009,21.250,16.150,B1,L1,P70x70,LT2,2024_22-101-Model.pdf
P009_L1_L2,P009,21.250,16.150,L1,L2,P70x70,LT2,2024_22-101-Model.pdf
P009_L2_L3,P009,21.250,16.150,L2,L3,P70x70,LT2,2024_22-101-Model.pdf
P009_L3_L4,P009,21.250,16.150,L3,L4,P70x70,LT2,2024_22-101-Model.pdf
P009_L4_ROOF,P009,21.250,16.150,L4,ROOF,P70x70,LT2,2024_22-102-Model.pdf
P010_B1_L1,P010,31.250,16.150,B1,L1,P70x70,LT2,2024_22-101-Model.pdf
P010_L1_L2,P010,31.250,16.150,L1,L2,P70x70,LT2,2024_22-101-Model.pdf
P010_L2_L3,P010,31.250,16.150,L2,L3,P70x70,LT2,2024_22-101-Model.pdf
P010_L3_L4,P010,31.250,16.150,L3,L4,P70x70,LT2,2024_22-101-Model.pdf
P010_L4_ROOF,P010,31.250,16.150,L4,ROOF,P70x70,LT2,2024_22-102-Model.pdf
