segment_id,parent_id,x1_m,y1_m,x2_m,y2_m,thickness_m,from_level,to_level,stage,source
M001_B1_L1,M001,0.1,-1.095,0.1,1.825,0.6,B1,L1,LT2,2024_22-101-Model.pdf
M001_L1_L2,M001,0.1,-1.095,0.1,1.825,0.6,L1,L2,LT2,2024_22-101-Model.pdf
M001_L2_L3,M001,0.1,-1.095,0.1,1.825,0.6,L2,L3,LT2,2024_22-101-Model.pdf
M001_L3_L4,M001,0.1,-1.095,0.1,1.825,0.6,L3,L4,LT2,2024_22-101-Model.pdf
M001_L4_ROOF,M001,0.1,-1.095,0.1,1.825,0.6,L4,ROOF,LT2,2024_22-102-Model.pdf
M003_B1_L1,M003,0.1,14.325,0.1,17.24,0.6,B1,L1,LT2,2024_22-101-Model.pdf
M003_L1_L2,M003,0.1,14.325,0.1,17.24,0.6,L1,L2,LT2,2024_22-101-Model.pdf
M003_L2_L3,M003,0.1,14.325,0.1,17.24,0.6,L2,L3,LT2,2024_22-101-Model.pdf
M003_L3_L4,M003,0.1,14.325,0.1,17.24,0.6,L3,L4,LT2,2024_22-101-Model.pdf
M003_L4_ROOF,M003,0.1,14.325,0.1,17.24,0.6,L4,ROOF,LT2,2024_22-102-Model.pdf
M002_B1_L1,M002,0.1,0.15,1.85,0.15,0.3,B1,L1,LT2,2024_22-101-Model.pdf
M002_L1_L2,M002,0.1,0.15,1.85,0.15,0.3,L1,L2,LT2,2024_22-101-Model.pdf
M002_L2_L3,M002,0.1,0.15,1.85,0.15,0.3,L2,L3,LT2,2024_22-101-Model.pdf
M002_L3_L4,M002,0.1,0.15,1.85,0.15,0.3,L3,L4,LT2,2024_22-101-Model.pdf
M002_L4_ROOF,M002,0.1,0.15,1.85,0.15,0.3,L4,ROOF,LT2,2024_22-102-Model.pdf
M004_B1_L1,M004,0.1,16.0,1.85,16.0,0.3,B1,L1,LT2,2024_22-101-Model.pdf
M004_L1_L2,M004,0.1,16.0,1.85,16.0,0.3,L1,L2,LT2,2024_22-101-Model.pdf
M004_L2_L3,M004,0.1,16.0,1.85,16.0,0.3,L2,L3,LT2,2024_22-101-Model.pdf
M004_L3_L4,M004,0.1,16.0,1.85,16.0,0.3,L3,L4,LT2,2024_22-101-Model.pdf
M004_L4_ROOF,M004,0.1,16.0,1.85,16.0,0.3,L4,ROOF,LT2,2024_22-102-Model.pdf
M005_B1_L1,M005,28.205,3.18,28.205,6.275,0.25,B1,L1,LT2,2024_22-101-Model.pdf
M005_L1_L2,M005,28.205,3.18,28.205,6.275,0.25,L1,L2,LT2,2024_22-101-Model.pdf
M005_L2_L3,M005,28.205,3.18,28.205,6.275,0.25,L2,L3,LT2,2024_22-101-Model.pdf
M005_L3_L4,M005,28.205,3.18,28.205,6.275,0.25,L3,L4,LT2,2024_22-101-Model.pdf
M005_L4_ROOF,M005,28.205,3.18,28.205,6.275,0.25,L4,ROOF,LT2,2024_22-102-Model.pdf
M007_B1_L1,M007,31.25,3.18,31.25,6.275,0.25,B1,L1,LT2,2024_22-101-Model.pdf
M007_L1_L2,M007,31.25,3.18,31.25,6.275,0.25,L1,L2,LT2,2024_22-101-Model.pdf
M007_L2_L3,M007,31.25,3.18,31.25,6.275,0.25,L2,L3,LT2,2024_22-101-Model.pdf
M007_L3_L4,M007,31.25,3.18,31.25,6.275,0.25,L3,L4,LT2,2024_22-101-Model.pdf
M007_L4_ROOF,M007,31.25,3.18,31.25,6.275,0.25,L4,ROOF,LT2,2024_22-102-Model.pdf
M006_B1_L1,M006,28.205,3.18,31.25,3.18,0.3,B1,L1,LT2,2024_22-101-Model.pdf
M006_L1_L2,M006,28.205,3.18,31.25,3.18,0.3,L1,L2,LT2,2024_22-101-Model.pdf
M006_L2_L3,M006,28.205,3.18,31.25,3.18,0.3,L2,L3,LT2,2024_22-101-Model.pdf
M006_L3_L4,M006,28.205,3.18,31.25,3.18,0.3,L3,L4,LT2,2024_22-101-Model.pdf
M006_L4_ROOF,M006,28.205,3.18,31.25,3.18,0.3,L4,ROOF,LT2,2024_22-102-Model.pdf
M008_B1_L1,M008,31.25,0.0,31.25,3.18,0.25,B1,L1,LT2,2024_22-101-Model.pdf
M008_L1_L2,M008,31.25,0.0,31.25,3.18,0.25,L1,L2,LT2,2024_22-101-Model.pdf
M008_L2_L3,M008,31.25,0.0,31.25,3.18,0.25,L2,L3,LT2,2024_22-101-Model.pdf
M008_L3_L4,M008,31.25,0.0,31.25,3.18,0.25,L3,L4,LT2,2024_22-101-Model.pdf
M008_L4_ROOF,M008,31.25,0.0,31.25,3.18,0.25,L4,ROOF,LT2,2024_22-102-Model.pdf
