level,beam_id,element_tag,receiver_type,receiver_id,tributary_area_m2,total_slab_load_kN,beam_length_m,equivalent_uniform_load_kN_m,status
L1,L1_V001,2001,BEAM,L1_V001,1.793809,10.910304,1.9,5.742265,TRANSFERIDO
L1,,,WALL,M002,1.026109,6.240999,,,WALL_EDGE_PENDING
L1,L1_V30_01,2081,BEAM,L1_V30_01,3.362698,20.452602,1.85,11.05546,TRANSFERIDO
L1,L1_V40_01,2097,BEAM,L1_V40_01,3.863588,23.499116,2.44,9.630785,TRANSFERIDO
L1,,,WALL,M001,1.655824,10.07105,,,WALL_EDGE_PENDING
L1,L1_V009,2009,BEAM,L1_V009,8.883744,54.032708,4.265,12.668865,TRANSFERIDO
L1,L1_V40_02,2098,BEAM,L1_V40_02,7.555548,45.954356,4.635,9.91464,TRANSFERIDO
L1,L1_V010,2010,BEAM,L1_V010,11.418048,69.446854,4.635,14.98314,TRANSFERIDO
L1,L1_V30_03,2083,BEAM,L1_V30_03,3.362142,20.44922,1.85,11.053632,TRANSFERIDO
L1,L1_V40_03,2099,BEAM,L1_V40_03,4.751125,28.897292,2.985,9.680835,TRANSFERIDO
L1,L1_V011,2011,BEAM,L1_V011,5.768512,35.085247,2.985,11.753852,TRANSFERIDO
L1,L1_V006,2006,BEAM,L1_V006,1.713526,10.422011,1.9,5.485269,TRANSFERIDO
L1,,,WALL,M004,1.018582,6.195222,,,WALL_EDGE_PENDING
L1,L1_V40_04,2100,BEAM,L1_V40_04,3.863588,23.499116,2.44,9.630785,TRANSFERIDO
L1,,,WALL,M003,1.66335,10.116827,,,WALL_EDGE_PENDING
L1,L1_V012,2012,BEAM,L1_V012,8.961518,54.505743,4.265,12.779776,TRANSFERIDO
L1,L1_V002,2002,BEAM,L1_V002,3.527406,21.454388,3.75,5.72117,TRANSFERIDO
L1,L1_V30_02,2082,BEAM,L1_V30_02,6.978112,42.442271,3.75,11.317939,TRANSFERIDO
L1,L1_V013,2013,BEAM,L1_V013,10.79045,65.629675,4.265,15.387966,TRANSFERIDO
L1,L1_V004,2004,BEAM,L1_V004,6.921655,42.098889,3.75,11.22637,TRANSFERIDO
L1,L1_V014,2014,BEAM,L1_V014,12.031065,73.175341,4.635,15.78756,TRANSFERIDO
L1,L1_V30_04,2084,BEAM,L1_V30_04,6.907471,42.012618,3.75,11.203365,TRANSFERIDO
L1,L1_V015,2015,BEAM,L1_V015,6.11925,37.218502,2.985,12.46851,TRANSFERIDO
L1,L1_V007,2007,BEAM,L1_V007,3.434579,20.889799,3.75,5.570613,TRANSFERIDO
