node_tag,x_m,y_m,z_m,ux_m,uy_m,uz_m,is_master
1,0.1,-1.095,-7.97,,,,False
2,0.1,0.15,-7.97,,,,False
3,0.1,1.825,-7.97,,,,False
4,0.1,14.325,-7.97,,,,False
5,0.1,16.0,-7.97,,,,False
6,0.1,17.24,-7.97,,,,False
7,1.85,0.15,-7.97,,,,False
8,1.85,16.0,-7.97,,,,False
9,3.75,8.9,-7.97,,,,False
10,11.25,0.0,-7.97,,,,False
11,11.25,8.9,-7.97,,,,False
12,11.25,16.15,-7.97,,,,False
13,21.25,0.0,-7.97,,,,False
14,21.25,8.9,-7.97,,,,False
15,21.25,16.15,-7.97,,,,False
16,28.205,3.18,-7.97,,,,False
17,28.205,6.275,-7.97,,,,False
18,31.25,0.0,-7.97,,,,False
19,31.25,3.18,-7.97,,,,False
20,31.25,6.275,-7.97,,,,False
21,31.25,8.9,-7.97,,,,False
22,31.25,16.15,-7.97,,,,False
23,0.1,-1.095,-4.01,,,,False
24,0.1,0.15,-4.01,,,,False
25,0.1,1.825,-4.01,,,,False
26,0.1,14.325,-4.01,,,,False
27,0.1,16.0,-4.01,,,,False
28,0.1,17.24,-4.01,,,,False
29,0.4,1.825,-4.01,,,,False
30,0.4,4.265,-4.01,,,,False
31,0.4,8.9,-4.01,,,,False
32,0.4,11.885,-4.01,,,,False
33,0.4,14.325,-4.01,,,,False
34,1.85,0.0,-4.01,,,,False
35,1.85,0.15,-4.01,,,,False
36,1.85,16.0,-4.01,,,,False
37,1.85,16.15,-4.01,,,,False
38,1.9,4.265,-4.01,,,,False
39,1.9,11.885,-4.01,,,,False
40,3.75,0.0,-4.01,,,,False
41,3.75,4.265,-4.01,,,,False
42,3.75,8.9,-4.01,,,,False
43,3.75,11.885,-4.01,,,,False
44,3.75,16.15,-4.01,,,,False
45,7.5,0.0,-4.01,,,,False
46,7.5,4.265,-4.01,,,,False
47,7.5,8.9,-4.01,,,,False
48,7.5,11.885,-4.01,,,,False
49,7.5,16.15,-4.01,,,,False
50,11.25,0.0,-4.01,,,,False
51,11.25,4.265,-4.01,,,,False
52,11.25,8.9,-4.01,,,,False
53,11.25,11.885,-4.01,,,,False
54,11.25,16.15,-4.01,,,,False
55,16.25,0.0,-4.01,,,,False
56,16.25,8.9,-4.01,,,,False
57,16.25,16.15,-4.01,,,,False
58,21.25,0.0,-4.01,,,,False
59,21.25,8.9,-4.01,,,,False
60,21.25,16.15,-4.01,,,,False
61,26.25,0.0,-4.01,,,,False
62,26.25,8.9,-4.01,,,,False
63,26.25,16.15,-4.01,,,,False
64,28.205,3.18,-4.01,,,,False
65,28.205,6.275,-4.01,,,,False
66,31.25,0.0,-4.01,,,,False
67,31.25,3.18,-4.01,,,,False
68,31.25,6.275,-4.01,,,,False
69,31.25,8.9,-4.01,,,,False
70,31.25,16.15,-4.01,,,,False
71,0.1,-1.095,-0.05,,,,False
72,0.1,0.15,-0.05,,,,False
73,0.1,1.825,-0.05,,,,False
74,0.1,14.325,-0.05,,,,False
75,0.1,16.0,-0.05,,,,False
76,0.1,17.24,-0.05,,,,False
77,0.4,1.825,-0.05,,,,False
78,0.4,4.265,-0.05,,,,False
79,0.4,8.9,-0.05,,,,False
80,0.4,11.885,-0.05,,,,False
81,0.4,14.325,-0.05,,,,False
82,1.85,0.0,-0.05,,,,False
83,1.85,0.15,-0.05,,,,False
84,1.85,16.0,-0.05,,,,False
85,1.85,16.15,-0.05,,,,False
86,1.9,4.265,-0.05,,,,False
87,1.9,11.885,-0.05,,,,False
88,3.75,0.0,-0.05,,,,False
89,3.75,4.265,-0.05,,,,False
90,3.75,8.9,-0.05,,,,False
91,3.75,11.885,-0.05,,,,False
92,3.75,16.15,-0.05,,,,False
93,7.5,0.0,-0.05,,,,False
94,7.5,4.265,-0.05,,,,False
95,7.5,8.9,-0.05,,,,False
96,7.5,11.885,-0.05,,,,False
97,7.5,16.15,-0.05,,,,False
98,11.25,0.0,-0.05,,,,False
99,11.25,4.265,-0.05,,,,False
100,11.25,8.9,-0.05,,,,False
101,11.25,11.885,-0.05,,,,False
102,11.25,16.15,-0.05,,,,False
103,16.25,0.0,-0.05,,,,False
104,16.25,8.9,-0.05,,,,False
105,16.25,16.15,-0.05,,,,False
106,21.25,0.0,-0.05,,,,False
107,21.25,8.9,-0.05,,,,False
108,21.25,16.15,-0.05,,,,False
109,26.25,0.0,-0.05,,,,False
110,26.25,8.9,-0.05,,,,False
111,26.25,16.15,-0.05,,,,False
112,28.205,3.18,-0.05,,,,False
113,28.205,6.275,-0.05,,,,False
114,31.25,0.0,-0.05,,,,False
115,31.25,3.18,-0.05,,,,False
116,31.25,6.275,-0.05,,,,False
117,31.25,8.9,-0.05,,,,False
118,31.25,16.15,-0.05,,,,False
119,0.1,-1.095,3.91,,,,False
120,0.1,0.15,3.91,,,,False
121,0.1,1.825,3.91,,,,False
122,0.1,14.325,3.91,,,,False
123,0.1,16.0,3.91,,,,False
124,0.1,17.24,3.91,,,,False
125,0.4,1.825,3.91,,,,False
126,0.4,4.265,3.91,,,,False
127,0.4,8.9,3.91,,,,False
128,0.4,11.885,3.91,,,,False
129,0.4,14.325,3.91,,,,False
130,1.85,0.0,3.91,,,,False
131,1.85,0.15,3.91,,,,False
132,1.85,16.0,3.91,,,,False
133,1.85,16.15,3.91,,,,False
134,1.9,4.265,3.91,,,,False
135,1.9,11.885,3.91,,,,False
136,3.75,0.0,3.91,,,,False
137,3.75,4.265,3.91,,,,False
138,3.75,8.9,3.91,,,,False
139,3.75,11.885,3.91,,,,False
140,3.75,16.15,3.91,,,,False
141,7.5,0.0,3.91,,,,False
142,7.5,4.265,3.91,,,,False
143,7.5,8.9,3.91,,,,False
144,7.5,11.885,3.91,,,,False
145,7.5,16.15,3.91,,,,False
146,11.25,0.0,3.91,,,,False
147,11.25,4.265,3.91,,,,False
148,11.25,8.9,3.91,,,,False
149,11.25,11.885,3.91,,,,False
150,11.25,16.15,3.91,,,,False
151,16.25,0.0,3.91,,,,False
152,16.25,8.9,3.91,,,,False
153,16.25,16.15,3.91,,,,False
154,21.25,0.0,3.91,,,,False
155,21.25,8.9,3.91,,,,False
156,21.25,16.15,3.91,,,,False
157,26.25,0.0,3.91,,,,False
158,26.25,8.9,3.91,,,,False
159,26.25,16.15,3.91,,,,False
160,28.205,3.18,3.91,,,,False
161,28.205,6.275,3.91,,,,False
162,31.25,0.0,3.91,,,,False
163,31.25,3.18,3.91,,,,False
164,31.25,6.275,3.91,,,,False
165,31.25,8.9,3.91,,,,False
166,31.25,16.15,3.91,,,,False
167,0.1,-1.095,7.87,,,,False
168,0.1,0.15,7.87,,,,False
169,0.1,1.825,7.87,,,,False
170,0.1,14.325,7.87,,,,False
171,0.1,16.0,7.87,,,,False
172,0.1,17.24,7.87,,,,False
173,0.4,1.825,7.87,,,,False
174,0.4,4.265,7.87,,,,False
175,0.4,8.9,7.87,,,,False
176,0.4,11.885,7.87,,,,False
177,0.4,14.325,7.87,,,,False
178,1.85,0.0,7.87,,,,False
179,1.85,0.15,7.87,,,,False
180,1.85,16.0,7.87,,,,False
181,1.85,16.15,7.87,,,,False
182,1.9,4.265,7.87,,,,False
183,1.9,11.885,7.87,,,,False
184,3.75,0.0,7.87,,,,False
185,3.75,4.265,7.87,,,,False
186,3.75,8.9,7.87,,,,False
187,3.75,11.885,7.87,,,,False
188,3.75,16.15,7.87,,,,False
189,7.5,0.0,7.87,,,,False
190,7.5,4.265,7.87,,,,False
191,7.5,8.9,7.87,,,,False
192,7.5,11.885,7.87,,,,False
193,7.5,16.15,7.87,,,,False
194,11.25,0.0,7.87,,,,False
195,11.25,4.265,7.87,,,,False
196,11.25,8.9,7.87,,,,False
197,11.25,11.885,7.87,,,,False
198,11.25,16.15,7.87,,,,False
199,16.25,0.0,7.87,,,,False
200,16.25,8.9,7.87,,,,False
201,16.25,16.15,7.87,,,,False
202,21.25,0.0,7.87,,,,False
203,21.25,8.9,7.87,,,,False
204,21.25,16.15,7.87,,,,False
205,26.25,0.0,7.87,,,,False
206,26.25,8.9,7.87,,,,False
207,26.25,16.15,7.87,,,,False
208,28.205,3.18,7.87,,,,False
209,28.205,6.275,7.87,,,,False
210,31.25,0.0,7.87,,,,False
211,31.25,3.18,7.87,,,,False
212,31.25,6.275,7.87,,,,False
213,31.25,8.9,7.87,,,,False
214,31.25,16.15,7.87,,,,False
215,0.1,-1.095,11.83,,,,False
216,0.1,0.15,11.83,,,,False
217,0.1,1.825,11.83,,,,False
218,0.1,14.325,11.83,,,,False
219,0.1,16.0,11.83,,,,False
220,0.1,17.24,11.83,,,,False
221,0.4,1.825,11.83,,,,False
222,0.4,4.265,11.83,,,,False
223,0.4,8.9,11.83,,,,False
224,0.4,11.885,11.83,,,,False
225,0.4,14.325,11.83,,,,False
226,0.998,2.9,11.83,,,,False
227,0.998,7.92,11.83,,,,False
228,1.85,0.0,11.83,,,,False
229,1.85,0.15,11.83,,,,False
230,1.85,16.0,11.83,,,,False
231,1.85,16.15,11.83,,,,False
232,1.9,4.265,11.83,,,,False
233,1.9,11.885,11.83,,,,False
234,3.75,0.0,11.83,,,,False
235,3.75,4.265,11.83,,,,False
236,3.75,8.9,11.83,,,,False
237,3.75,11.885,11.83,,,,False
238,3.75,16.15,11.83,,,,False
239,7.5,0.0,11.83,,,,False
240,7.5,4.265,11.83,,,,False
241,7.5,8.9,11.83,,,,False
242,7.5,11.885,11.83,,,,False
243,7.5,16.15,11.83,,,,False
244,7.596,2.9,11.83,,,,False
245,7.646,7.92,11.83,,,,False
246,8.246,7.92,11.83,,,,False
247,8.296,2.9,11.83,,,,False
248,11.25,0.0,11.83,,,,False
249,11.25,4.265,11.83,,,,False
250,11.25,8.9,11.83,,,,False
251,11.25,11.885,11.83,,,,False
252,11.25,16.15,11.83,,,,False
253,16.25,0.0,11.83,,,,False
254,16.25,8.9,11.83,,,,False
255,16.25,16.15,11.83,,,,False
256,16.546,2.9,11.83,,,,False
257,16.546,7.92,11.83,,,,False
258,18.545,7.92,11.83,,,,False
259,20.794,7.92,11.83,,,,False
260,21.25,0.0,11.83,,,,False
261,21.25,8.9,11.83,,,,False
262,21.25,16.15,11.83,,,,False
263,26.25,0.0,11.83,,,,False
264,26.25,8.9,11.83,,,,False
265,26.25,16.15,11.83,,,,False
266,28.205,3.18,11.83,,,,False
267,28.205,6.275,11.83,,,,False
268,31.25,0.0,11.83,,,,False
269,31.25,3.18,11.83,,,,False
270,31.25,6.275,11.83,,,,False
271,31.25,8.9,11.83,,,,False
272,31.25,16.15,11.83,,,,False
1001,15.675,8.0725,-4.01,,,,True
1002,15.675,8.0725,-0.05,,,,True
1003,15.675,8.0725,3.91,,,,True
1004,15.675,8.0725,7.87,,,,True
1005,15.675,8.0725,11.83,,,,True
