level,beam_id,element_tag,L,xloc,load_kN,k,s_m
L1,L1_V001,2001,1.9,0.013157895,0.442515871,0,0.025
L1,L1_V001,2001,1.9,0.039473684,0.457775039,1,0.075
L1,L1_V001,2001,1.9,0.065789474,0.473034207,2,0.125
L1,L1_V001,2001,1.9,0.092105263,0.488293375,3,0.175
L1,L1_V001,2001,1.9,0.118421053,0.503552543,4,0.225
L1,L1_V001,2001,1.9,0.144736842,0.503552543,5,0.275
L1,L1_V001,2001,1.9,0.171052632,0.473034207,6,0.325
L1,L1_V001,2001,1.9,0.197368421,0.473034207,7,0.375
L1,L1_V001,2001,1.9,0.223684211,0.457775039,8,0.425
L1,L1_V001,2001,1.9,0.25,0.442515871,9,0.475
L1,L1_V001,2001,1.9,0.276315789,0.427256703,10,0.525
L1,L1_V001,2001,1.9,0.302631579,0.411997535,11,0.575
L1,L1_V001,2001,1.9,0.328947368,0.396738367,12,0.625
L1,L1_V001,2001,1.9,0.355263158,0.381479199,13,0.675
L1,L1_V001,2001,1.9,0.381578947,0.366220031,14,0.725
L1,L1_V001,2001,1.9,0.407894737,0.350960863,15,0.775
L1,L1_V001,2001,1.9,0.434210526,0.335701695,16,0.825
L1,L1_V001,2001,1.9,0.460526316,0.320442527,17,0.875
L1,L1_V001,2001,1.9,0.486842105,0.305183359,18,0.925
L1,L1_V001,2001,1.9,0.513157895,0.289924191,19,0.975
L1,L1_V001,2001,1.9,0.539473684,0.274665023,20,1.025
L1,L1_V001,2001,1.9,0.565789474,0.259405856,21,1.075
L1,L1_V001,2001,1.9,0.592105263,0.244146688,22,1.125
L1,L1_V001,2001,1.9,0.618421053,0.22888752,23,1.175
L1,L1_V001,2001,1.9,0.644736842,0.213628352,24,1.225
L1,L1_V001,2001,1.9,0.671052632,0.198369184,25,1.275
L1,L1_V001,2001,1.9,0.697368421,0.183110016,26,1.325
L1,L1_V001,2001,1.9,0.723684211,0.167850848,27,1.375
L1,L1_V001,2001,1.9,0.75,0.15259168,28,1.425
L1,L1_V001,2001,1.9,0.776315789,0.137332512,29,1.475
L1,L1_V001,2001,1.9,0.802631579,0.122073344,30,1.525
L1,L1_V001,2001,1.9,0.828947368,0.106814176,31,1.575
L1,L1_V001,2001,1.9,0.855263158,0.091555008,32,1.625
L1,L1_V001,2001,1.9,0.881578947,0.07629584,33,1.675
L1,L1_V001,2001,1.9,0.907894737,0.061036672,34,1.725
L1,L1_V001,2001,1.9,0.934210526,0.045777504,35,1.775
L1,L1_V001,2001,1.9,0.960526316,0.030518336,36,1.825
L1,L1_V001,2001,1.9,0.986842105,0.015259168,37,1.875
L1,L1_V30_01,2081,1.85,0.013513514,0.457775109,0,0.025
L1,L1_V30_01,2081,1.85,0.040540541,0.473034279,1,0.075
L1,L1_V30_01,2081,1.85,0.067567568,0.48829345,2,0.125
L1,L1_V30_01,2081,1.85,0.094594595,0.50355262,3,0.175
L1,L1_V30_01,2081,1.85,0.121621622,0.48829345,4,0.225
L1,L1_V30_01,2081,1.85,0.148648649,0.473034279,5,0.275
L1,L1_V30_01,2081,1.85,0.175675676,0.457775109,6,0.325
L1,L1_V30_01,2081,1.85,0.202702703,0.442515939,7,0.375
L1,L1_V30_01,2081,1.85,0.22972973,0.427256768,8,0.425
L1,L1_V30_01,2081,1.85,0.256756757,0.411997598,9,0.475
L1,L1_V30_01,2081,1.85,0.283783784,0.396738428,10,0.525
L1,L1_V30_01,2081,1.85,0.310810811,0.381479258,11,0.575
L1,L1_V30_01,2081,1.85,0.337837838,0.366220087,12,0.625
L1,L1_V30_01,2081,1.85,0.364864865,0.350960917,13,0.675
L1,L1_V30_01,2081,1.85,0.391891892,0.335701747,14,0.725
L1,L1_V30_01,2081,1.85,0.418918919,0.320442576,15,0.775
L1,L1_V30_01,2081,1.85,0.445945946,0.305183406,16,0.825
L1,L1_V30_01,2081,1.85,0.472972973,0.289924236,17,0.875
L1,L1_V30_01,2081,1.85,0.5,0.274665065,18,0.925
L1,L1_V30_01,2081,1.85,0.527027027,0.259405895,19,0.975
L1,L1_V30_01,2081,1.85,0.554054054,0.244146725,20,1.025
