level,beam_id,element_tag,length_m,tributary_load_kN,applied_load_kN,abs_err_load_kN,rel_err_load,expected_first_moment_kN_m,applied_first_moment_kN_m,abs_err_moment_kN_m,rel_err_moment,n_loads
L1,L1_V001,2001,1.9,10.910304,10.910305099,1.099e-06,1.0073046546984107e-07,7.21796793,7.217967932,2e-09,3.240231518043151e-10,38
L1,L1_V30_01,2081,1.85,20.452602,20.452601777,2.23e-07,1.090325821074181e-08,12.820325512,12.820325512,0.0,6.631656190430374e-12,73
L1,L1_V40_01,2097,2.44,23.499116,23.49911492,1.08e-06,4.5959175678853564e-08,27.359683816,27.359683801,1.4e-08,5.262701044271844e-10,49
L1,L1_V009,2009,4.265,54.032708,54.032707765,2.35e-07,4.349217545795017e-09,115.465729683,115.465729701,1.8e-08,1.5498588942097594e-10,169
L1,L1_V40_02,2098,4.635,45.954356,45.954354078,1.922e-06,4.1824109026838804e-08,109.822115428,109.82211551,8.2e-08,7.427101532153021e-10,93
L1,L1_V010,2010,4.635,69.446854,69.446851568,2.432e-06,3.5019584732546146e-08,175.996691479,175.996691555,7.6e-08,4.291332468594199e-10,184
L1,L1_V30_03,2083,1.85,20.44922,20.449213988,6.012e-06,2.939965438098817e-07,12.836335723,12.836335722,1e-09,6.562121752965243e-11,74
L1,L1_V40_03,2099,2.985,28.897292,28.897292476,4.76e-07,1.647213135564485e-08,41.995633292,41.995633293,1e-09,3.2727109954531683e-11,60
L1,L1_V011,2011,2.985,35.085247,35.085243692,3.308e-06,9.428464365105752e-08,44.294931446,44.294931448,2e-09,5.249859424410146e-11,118
L1,L1_V006,2006,1.9,10.422011,10.422007837,3.163e-06,3.03492291514885e-07,6.681605683,6.681605684,0.0,3.676480745361183e-11,37
L1,L1_V40_04,2100,2.44,23.499116,23.49911492,1.08e-06,4.595917552766857e-08,29.625669898,29.62566988,1.9e-08,6.272211644758726e-10,49
L1,L1_V012,2012,4.265,54.505743,54.505744787,1.787e-06,3.278553592215695e-08,115.85675191,115.856751925,1.5e-08,1.337560298175527e-10,169
L1,L1_V002,2002,3.75,21.454388,21.454388776,7.76e-07,3.616975698666779e-08,40.763338669,40.763338674,5e-09,1.305130118175302e-10,74
L1,L1_V30_02,2082,3.75,42.442271,42.442266724,4.276e-06,1.0074861464486398e-07,79.917996741,79.917996741,0.0,1.190313388012023e-12,147
L1,L1_V013,2013,4.265,65.629675,65.629674985,1.5e-08,2.285551115161226e-10,156.294681942,156.294681925,1.6e-08,1.0518827055095499e-10,168
L1,L1_V004,2004,3.75,42.098889,42.098890041,1.041e-06,2.47274935074964e-08,79.292474378,79.292474378,0.0,6.270933154580231e-13,149
L1,L1_V014,2014,4.635,73.175341,73.17534354,2.54e-06,3.471114670989673e-08,151.227275304,151.227275298,7e-09,4.455915719381132e-11,183
L1,L1_V30_04,2084,3.75,42.012618,42.012620117,2.117e-06,5.038962327872468e-08,79.133779089,79.13377909,1e-09,1.2883797190293457e-11,149
L1,L1_V015,2015,2.985,37.218502,37.218502354,3.54e-07,9.511398222393651e-09,65.082451853,65.08245186,6e-09,9.755445371679961e-11,117
L1,L1_V007,2007,3.75,20.889799,20.889796394,2.606e-06,1.2474988402035778e-07,39.168368238,39.168368239,0.0,9.577579042579675e-12,73
L1,L1_V016,2016,4.265,65.980636,65.980636202,2.02e-07,3.061504217650658e-09,124.539213987,124.539214021,3.4e-08,2.7647897836347374e-10,169
L1,L1_V003,2003,3.75,21.484906,21.484909267,3.267e-06,1.520602419139868e-07,40.764868657,40.764868684,2.7e-08,6.6154399953871e-10,75
L1,L1_V017,2017,4.265,82.499247,82.499246664,3.36e-07,4.072764438432453e-09,216.281689423,216.281689424,1e-09,3.625093175650304e-12,168
L1,L1_V005,2005,3.75,42.840233,42.840237233,4.233e-06,9.88089863685227e-08,80.637868467,80.637868463,4e-09,5.0432597172571066e-11,150
L1,L1_V018,2018,4.635,92.816923,92.816920451,2.549e-06,2.7462664338647582e-08,168.158687262,168.158687274,1.2e-08,7.234257026376117e-11,184
L1,L1_V019,2019,2.985,49.513746,49.513742628,3.372e-06,6.810230021342835e-08,96.273676403,96.273676381,2.2e-08,2.2962636158870948e-10,118
L1,L1_V008,2008,3.75,20.889799,20.889796394,2.606e-06,1.2474988402035778e-07,39.168368238,39.168368239,0.0,9.577579042579675e-12,73
L1,L1_V020,2020,4.265,83.063836,83.063839039,3.039e-06,3.658631923189291e-08,136.89591881,136.895918811,1e-09,6.623971315272137e-12,169
L1,L1_BD_V60_01,2113,5.0,38.01375,38.01375,0.0,0.0,94.08403125,94.08403125,0.0,1.4349206555115283e-14,99
L1,L1_BD_V60_05,2117,5.0,76.0275,76.0275,0.0,0.0,188.1680625,188.1680625,0.0,1.4198162275587753e-14,198
L1,L1_BD_V60_13,2125,8.9,194.676016,194.6760165,5e-07,2.568369792083794e-09,866.108701238,866.108701238,0.0,0.0,355
L1,L1_BD_V60_09,2121,5.0,38.774025,38.774025,0.0,1.832522508973727e-16,96.9350625,96.9350625,0.0,1.422037466963592e-14,100
L1,L1_BD_V60_14,2126,7.25,144.45225,144.45225,0.0,0.0,520.0281,520.0281,0.0,1.4428703544340295e-14,288
L1,L1_BD_V60_02,2114,5.0,37.968134,37.9681335,5e-07,1.316893789770183e-08,94.080610013,94.080610012,0.0,1.3443429729940299e-14,98
L1,L1_BD_V60_06,2118,5.0,75.267225,75.267225,0.0,0.0,187.21771875,187.21771875,0.0,1.3814801160035655e-14,197
L1,L1_BD_V60_15,2127,8.9,194.676016,194.6760165,5e-07,2.568369792083794e-09,866.108701238,866.108701238,0.0,0.0,355
L1,L1_BD_V60_10,2122,5.0,38.774025,38.774025,0.0,1.832522508973727e-16,96.9350625,96.9350625,0.0,1.3633967466764343e-14,100
L1,L1_BD_V60_16,2128,7.25,144.45225,144.45225,0.0,0.0,520.0281,520.0281,0.0,1.4428703544340295e-14,288
L1,L1_BD_V60_03,2115,5.0,37.968134,37.9681335,5e-07,1.316893789770183e-08,94.080610013,94.080610012,0.0,1.3443429729940299e-14,98
L1,L1_BD_V60_07,2119,5.0,75.267225,75.267225,0.0,0.0,187.21771875,187.21771875,0.0,1.3814801160035655e-14,197
L1,L1_BD_V60_17,2129,8.9,184.381466,184.381467234,1.234e-06,6.692646775798588e-09,817.184009202,817.184009133,6.9e-08,8.445976024585749e-11,355
L1,L1_BD_V60_11,2123,5.0,38.774025,38.774025,0.0,1.832522508973727e-16,96.9350625,96.9350625,0.0,1.3633967466764343e-14,100
L1,L1_BD_V60_18,2130,7.25,144.45225,144.45225,0.0,0.0,520.0281,520.0281,0.0,1.4428703544340295e-14,288
L1,L1_BD_V60_04,2116,5.0,38.001421,38.001421378,3.78e-07,9.946996156888346e-09,94.163093501,94.163093494,8e-09,7.979262567830397e-11,98
L1,L1_BD_V60_08,2120,5.0,75.300553,75.300555455,2.455e-06,3.260268241102806e-08,187.300211629,187.300211626,2e-09,1.3227688379073898e-11,197
L1,L1_BD_V60_12,2124,5.0,38.774025,38.774025,0.0,1.832522508973727e-16,96.9350625,96.9350625,0.0,1.3633967466764343e-14,100
L2,L2_V001,2021,1.9,10.910304,10.910305099,1.099e-06,1.0073046546984107e-07,7.21796793,7.217967932,2e-09,3.240231518043151e-10,38
L2,L2_V30_01,2085,1.85,20.452602,20.452601777,2.23e-07,1.090325821074181e-08,12.820325512,12.820325512,0.0,6.631656190430374e-12,73
L2,L2_V40_01,2101,2.44,23.499116,23.49911492,1.08e-06,4.5959175678853564e-08,27.359683816,27.359683801,1.4e-08,5.262701044271844e-10,49
L2,L2_V009,2029,4.265,54.032708,54.032707765,2.35e-07,4.349217545795017e-09,115.465729683,115.465729701,1.8e-08,1.5498588942097594e-10,169
L2,L2_V40_02,2102,4.635,45.954356,45.954354078,1.922e-06,4.1824109026838804e-08,109.822115428,109.82211551,8.2e-08,7.427101532153021e-10,93
L2,L2_V010,2030,4.635,69.446854,69.446851568,2.432e-06,3.5019584732546146e-08,175.996691479,175.996691555,7.6e-08,4.291332468594199e-10,184
L2,L2_V30_03,2087,1.85,20.44922,20.449213988,6.012e-06,2.939965438098817e-07,12.836335723,12.836335722,1e-09,6.562121752965243e-11,74
L2,L2_V40_03,2103,2.985,28.897292,28.897292476,4.76e-07,1.647213135564485e-08,41.995633292,41.995633293,1e-09,3.2727109954531683e-11,60
L2,L2_V011,2031,2.985,35.085247,35.085243692,3.308e-06,9.428464365105752e-08,44.294931446,44.294931448,2e-09,5.249859424410146e-11,118
L2,L2_V006,2026,1.9,10.422011,10.422007837,3.163e-06,3.03492291514885e-07,6.681605683,6.681605684,0.0,3.676480745361183e-11,37
L2,L2_V40_04,2104,2.44,23.499116,23.49911492,1.08e-06,4.595917552766857e-08,29.625669898,29.62566988,1.9e-08,6.272211644758726e-10,49
L2,L2_V012,2032,4.265,54.505743,54.505744787,1.787e-06,3.278553592215695e-08,115.85675191,115.856751925,1.5e-08,1.337560298175527e-10,169
L2,L2_V002,2022,3.75,21.454388,21.454388776,7.76e-07,3.616975698666779e-08,40.763338669,40.763338674,5e-09,1.305130118175302e-10,74
L2,L2_V30_02,2086,3.75,42.442271,42.442266724,4.276e-06,1.0074861464486398e-07,79.917996741,79.917996741,0.0,1.190313388012023e-12,147
L2,L2_V013,2033,4.265,65.629675,65.629674985,1.5e-08,2.285551115161226e-10,156.294681942,156.294681925,1.6e-08,1.0518827055095499e-10,168
L2,L2_V004,2024,3.75,42.098889,42.098890041,1.041e-06,2.47274935074964e-08,79.292474378,79.292474378,0.0,6.270933154580231e-13,149
L2,L2_V014,2034,4.635,73.175341,73.17534354,2.54e-06,3.471114670989673e-08,151.227275304,151.227275298,7e-09,4.455915719381132e-11,183
L2,L2_V30_04,2088,3.75,42.012618,42.012620117,2.117e-06,5.038962327872468e-08,79.133779089,79.13377909,1e-09,1.2883797190293457e-11,149
L2,L2_V015,2035,2.985,37.218502,37.218502354,3.54e-07,9.511398222393651e-09,65.082451853,65.08245186,6e-09,9.755445371679961e-11,117
L2,L2_V007,2027,3.75,20.889799,20.889796394,2.606e-06,1.2474988402035778e-07,39.168368238,39.168368239,0.0,9.577579042579675e-12,73
L2,L2_V016,2036,4.265,65.980636,65.980636202,2.02e-07,3.061504217650658e-09,124.539213987,124.539214021,3.4e-08,2.7647897836347374e-10,169
L2,L2_V003,2023,3.75,21.484906,21.484909267,3.267e-06,1.520602419139868e-07,40.764868657,40.764868684,2.7e-08,6.6154399953871e-10,75
L2,L2_V017,2037,4.265,82.499247,82.499246664,3.36e-07,4.072764438432453e-09,216.281689423,216.281689424,1e-09,3.625093175650304e-12,168
L2,L2_V005,2025,3.75,42.840233,42.840237233,4.233e-06,9.88089863685227e-08,80.637868467,80.637868463,4e-09,5.0432597172571066e-11,150
L2,L2_V018,2038,4.635,92.816923,92.816920451,2.549e-06,2.7462664338647582e-08,168.158687262,168.158687274,1.2e-08,7.234257026376117e-11,184
L2,L2_V019,2039,2.985,49.513746,49.513742628,3.372e-06,6.810230021342835e-08,96.273676403,96.273676381,2.2e-08,2.2962636158870948e-10,118
L2,L2_V008,2028,3.75,20.889799,20.889796394,2.606e-06,1.2474988402035778e-07,39.168368238,39.168368239,0.0,9.577579042579675e-12,73
L2,L2_V020,2040,4.265,83.063836,83.063839039,3.039e-06,3.658631923189291e-08,136.89591881,136.895918811,1e-09,6.623971315272137e-12,169
L2,L2_BD_V60_01,2131,5.0,38.01375,38.01375,0.0,0.0,94.08403125,94.08403125,0.0,1.4349206555115283e-14,99
L2,L2_BD_V60_05,2135,5.0,76.0275,76.0275,0.0,0.0,188.1680625,188.1680625,0.0,1.4198162275587753e-14,198
L2,L2_BD_V60_13,2143,8.9,194.676016,194.6760165,5e-07,2.568369792083794e-09,866.108701238,866.108701238,0.0,0.0,355
L2,L2_BD_V60_09,2139,5.0,38.774025,38.774025,0.0,1.832522508973727e-16,96.9350625,96.9350625,0.0,1.422037466963592e-14,100
L2,L2_BD_V60_14,2144,7.25,144.45225,144.45225,0.0,0.0,520.0281,520.0281,0.0,1.4428703544340295e-14,288
L2,L2_BD_V60_02,2132,5.0,37.968134,37.9681335,5e-07,1.316893789770183e-08,94.080610013,94.080610012,0.0,1.3443429729940299e-14,98
L2,L2_BD_V60_06,2136,5.0,75.267225,75.267225,0.0,0.0,187.21771875,187.21771875,0.0,1.3814801160035655e-14,197
L2,L2_BD_V60_15,2145,8.9,194.676016,194.6760165,5e-07,2.568369792083794e-09,866.108701238,866.108701238,0.0,0.0,355
L2,L2_BD_V60_10,2140,5.0,38.774025,38.774025,0.0,1.832522508973727e-16,96.9350625,96.9350625,0.0,1.3633967466764343e-14,100
L2,L2_BD_V60_16,2146,7.25,144.45225,144.45225,0.0,0.0,520.0281,520.0281,0.0,1.4428703544340295e-14,288
L2,L2_BD_V60_03,2133,5.0,37.968134,37.9681335,5e-07,1.316893789770183e-08,94.080610013,94.080610012,0.0,1.3443429729940299e-14,98
L2,L2_BD_V60_07,2137,5.0,75.267225,75.267225,0.0,0.0,187.21771875,187.21771875,0.0,1.3814801160035655e-14,197
L2,L2_BD_V60_17,2147,8.9,184.381466,184.381467234,1.234e-06,6.692646775798588e-09,817.184009202,817.184009133,6.9e-08,8.445976024585749e-11,355
L2,L2_BD_V60_11,2141,5.0,38.774025,38.774025,0.0,1.832522508973727e-16,96.9350625,96.9350625,0.0,1.3633967466764343e-14,100
L2,L2_BD_V60_18,2148,7.25,144.45225,144.45225,0.0,0.0,520.0281,520.0281,0.0,1.4428703544340295e-14,288
L2,L2_BD_V60_04,2134,5.0,38.001421,38.001421378,3.78e-07,9.946996156888346e-09,94.163093501,94.163093494,8e-09,7.979262567830397e-11,98
L2,L2_BD_V60_08,2138,5.0,75.300553,75.300555455,2.455e-06,3.260268241102806e-08,187.300211629,187.300211626,2e-09,1.3227688379073898e-11,197
L2,L2_BD_V60_12,2142,5.0,38.774025,38.774025,0.0,1.832522508973727e-16,96.9350625,96.9350625,0.0,1.3633967466764343e-14,100
L3,L3_V001,2041,1.9,10.910304,10.910305099,1.099e-06,1.0073046546984107e-07,7.21796793,7.217967932,2e-09,3.240231518043151e-10,38
L3,L3_V30_01,2089,1.85,20.452602,20.452601777,2.23e-07,1.090325821074181e-08,12.820325512,12.820325512,0.0,6.631656190430374e-12,73
L3,L3_V40_01,2105,2.44,23.499116,23.49911492,1.08e-06,4.5959175678853564e-08,27.359683816,27.359683801,1.4e-08,5.262701044271844e-10,49
L3,L3_V009,2049,4.265,54.032708,54.032707765,2.35e-07,4.349217545795017e-09,115.465729683,115.465729701,1.8e-08,1.5498588942097594e-10,169
L3,L3_V40_02,2106,4.635,45.954356,45.954354078,1.922e-06,4.1824109026838804e-08,109.822115428,109.82211551,8.2e-08,7.427101532153021e-10,93
