elementTag,nivel,orientacion,eje_x_i,eje_x_j,eje_y_i,eje_y_j,longitud_m,A_tributaria_m2,SC_peso_trib_kN,w_Q_zon_kN_m,origen,n_fuentes
200028,PISO_1,X,E,F,1,1,10.0,24.697499999999998,121.09986918749998,12.109986918749998,PISO_1_P11:Y0,1
200029,PISO_1,X,E,F,2,2,10.0,47.806875,234.41264535937495,23.441264535937496,PISO_1_P11:Y1;PISO_1_P12:Y0,2
200030,PISO_1,X,E,F,3,3,10.0,23.109375,113.31277617187499,11.3312776171875,PISO_1_P12:Y1,1
200031,PISO_1,X,F,G,1,1,10.0,24.697499999999998,121.09986918749998,12.109986918749998,PISO_1_P21:Y0,1
200032,PISO_1,X,F,G,2,2,10.0,47.806875,234.41264535937495,23.441264535937496,PISO_1_P21:Y1;PISO_1_P22:Y0,2
200033,PISO_1,X,F,G,3,3,10.0,23.109375,113.31277617187499,11.3312776171875,PISO_1_P22:Y1,1
200034,PISO_1,X,G,H,1,1,10.0,24.697499999999998,72.65992151249999,7.265992151249999,PISO_1_P31:Y0,1
200035,PISO_1,X,G,H,2,2,10.0,47.806875,140.64758721562498,14.064758721562498,PISO_1_P31:Y1;PISO_1_P32:Y0,2
200036,PISO_1,X,G,H,3,3,10.0,23.109375,67.987665703125,6.7987665703125,PISO_1_P32:Y1,1
200037,PISO_1,X,H,I,1,1,10.0,24.697499999999998,72.65992151249999,7.265992151249999,PISO_1_P41:Y0,1
200038,PISO_1,X,H,I,2,2,10.0,47.806875,140.64758721562498,14.064758721562498,PISO_1_P41:Y1;PISO_1_P42:Y0,2
200039,PISO_1,X,H,I,3,3,10.0,23.109375,67.987665703125,6.7987665703125,PISO_1_P42:Y1,1
200040,PISO_1,X,I,I',1,1,2.5,1.5625,3.83072265625,1.5322890624999999,PISO_1_P51:Y0,1
200041,PISO_1,X,I,I',2,2,2.5,3.125,7.6614453125,3.0645781249999997,PISO_1_P51:Y1;PISO_1_P52:Y0,2
200042,PISO_1,X,I,I',3,3,2.5,1.5625,3.83072265625,1.5322890624999999,PISO_1_P52:Y1,1
200043,PISO_1,Y,E,E,1,2,8.9,19.802500000000002,97.0980933125,10.909898125,PISO_1_P11:X0,1
200044,PISO_1,Y,F,F,1,2,8.9,39.605000000000004,194.196186625,21.81979625,PISO_1_P11:X1;PISO_1_P21:X0,2
200045,PISO_1,Y,G,G,1,2,8.9,39.605000000000004,155.3569493,17.455837,PISO_1_P21:X1;PISO_1_P31:X0,2
200046,PISO_1,Y,H,H,1,2,8.9,39.605000000000004,116.51771197500001,13.09187775,PISO_1_P31:X1;PISO_1_P41:X0,2
200047,PISO_1,Y,I,I,1,2,8.9,29.365000000000002,81.70287864375001,9.180098724016855,PISO_1_P41:X1;PISO_1_P51:X0,2
200048,PISO_1,Y,I',I',1,2,8.9,9.5625,23.44402265625,2.6341598490168536,PISO_1_P51:X1,1
200049,PISO_1,Y,E,E,2,3,7.249999999999998,13.140625,64.432755078125,8.887276562500002,PISO_1_P12:X0,1
200050,PISO_1,Y,F,F,2,3,7.249999999999998,26.28125,128.86551015625,17.774553125000004,PISO_1_P12:X1;PISO_1_P22:X0,2
200051,PISO_1,Y,G,G,2,3,7.249999999999998,26.28125,103.09240812499999,14.219642500000003,PISO_1_P22:X1;PISO_1_P32:X0,2
200052,PISO_1,Y,H,H,2,3,7.249999999999998,26.28125,77.31930609375,10.664731875000003,PISO_1_P32:X1;PISO_1_P42:X0,2
200053,PISO_1,Y,I,I,2,3,7.249999999999998,20.640625,57.047121796875004,7.868568523706899,PISO_1_P42:X1;PISO_1_P52:X0,2
200054,PISO_1,Y,I',I',2,3,7.249999999999998,7.5,18.38746875,2.536202586206897,PISO_1_P52:X1,1
200055,PISO_2,X,E,F,1,1,10.0,24.697499999999998,121.09986918749998,12.109986918749998,PISO_2_P11:Y0,1
200056,PISO_2,X,E,F,2,2,10.0,47.806875,211.75009012499999,21.1750090125,PISO_2_P11:Y1;PISO_2_P12:Y0,2
200057,PISO_2,X,E,F,3,3,10.0,23.109375,90.6502209375,9.065022093749999,PISO_2_P12:Y1,1
200058,PISO_2,X,F,G,1,1,10.0,24.697499999999998,121.09986918749998,12.109986918749998,PISO_2_P21:Y0,1
200059,PISO_2,X,F,G,2,2,10.0,47.806875,211.75009012499999,21.1750090125,PISO_2_P21:Y1;PISO_2_P22:Y0,2
200060,PISO_2,X,F,G,3,3,10.0,23.109375,90.6502209375,9.065022093749999,PISO_2_P22:Y1,1
200061,PISO_2,X,G,H,1,1,10.0,24.697499999999998,72.65992151249999,7.265992151249999,PISO_2_P31:Y0,1
200062,PISO_2,X,G,H,2,2,10.0,47.806875,117.98503198124999,11.798503198125,PISO_2_P31:Y1;PISO_2_P32:Y0,2
200063,PISO_2,X,G,H,3,3,10.0,23.109375,45.32511046875,4.532511046874999,PISO_2_P32:Y1,1
200064,PISO_2,X,H,I,1,1,10.0,24.697499999999998,72.65992151249999,7.265992151249999,PISO_2_P41:Y0,1
200065,PISO_2,X,H,I,2,2,10.0,47.806875,117.98503198124999,11.798503198125,PISO_2_P41:Y1;PISO_2_P42:Y0,2
200066,PISO_2,X,H,I,3,3,10.0,23.109375,45.32511046875,4.532511046874999,PISO_2_P42:Y1,1
200067,PISO_2,X,I,I',1,1,2.5,1.5625,3.83072265625,1.5322890624999999,PISO_2_P51:Y0,1
200068,PISO_2,X,I,I',2,2,2.5,3.125,7.6614453125,3.0645781249999997,PISO_2_P51:Y1;PISO_2_P52:Y0,2
200069,PISO_2,X,I,I',3,3,2.5,1.5625,3.83072265625,1.5322890624999999,PISO_2_P52:Y1,1
200070,PISO_2,Y,E,E,1,2,8.9,19.802500000000002,97.0980933125,10.909898125,PISO_2_P11:X0,1
200071,PISO_2,Y,F,F,1,2,8.9,39.605000000000004,194.196186625,21.81979625,PISO_2_P11:X1;PISO_2_P21:X0,2
200072,PISO_2,Y,G,G,1,2,8.9,39.605000000000004,155.3569493,17.455837,PISO_2_P21:X1;PISO_2_P31:X0,2
200073,PISO_2,Y,H,H,1,2,8.9,39.605000000000004,116.51771197500001,13.09187775,PISO_2_P31:X1;PISO_2_P41:X0,2
200074,PISO_2,Y,I,I,1,2,8.9,29.365000000000002,81.70287864375001,9.180098724016855,PISO_2_P41:X1;PISO_2_P51:X0,2
