nivel,pano_id,bay_x,row_y,eje_x0,eje_x1,eje_y0,eje_y1,Lx,Ly,area_m2,SC_kgf_m2,SC_kPa,estado,fuente
PISO_1,PISO_1_P11,1,1,E,F,1,2,10.0,8.9,89.0,500,4.903325,OCR CONSISTENTE,tile t01 col1 fila unica
PISO_1,PISO_1_P12,1,2,E,F,2,3,10.0,7.25,72.5,500,4.903325,INFERIDO_POR_CONTINUIDAD_GRAFICA,"tile t01 col1 (1 sola fila visible, misma para ambas direcciones Y)"
PISO_1,PISO_1_P21,2,1,F,G,1,2,10.0,8.9,89.0,500,4.903325,OCR CONSISTENTE,tile t01 col1 fila unica
PISO_1,PISO_1_P22,2,2,F,G,2,3,10.0,7.25,72.5,500,4.903325,INFERIDO_POR_CONTINUIDAD_GRAFICA,"tile t01 col1 (1 sola fila visible, misma para ambas direcciones Y)"
PISO_1,PISO_1_P31,3,1,G,H,1,2,10.0,8.9,89.0,300,2.941995,OCR CONSISTENTE,tile t01 col2
PISO_1,PISO_1_P32,3,2,G,H,2,3,10.0,7.25,72.5,300,2.941995,INFERIDO_POR_CONTINUIDAD_GRAFICA,tile t01 col2
PISO_1,PISO_1_P41,4,1,H,I,1,2,10.0,8.9,89.0,300,2.941995,OCR CONSISTENTE,tile t01 col2
PISO_1,PISO_1_P42,4,2,H,I,2,3,10.0,7.25,72.5,300,2.941995,INFERIDO_POR_CONTINUIDAD_GRAFICA,tile t01 col2
PISO_1,PISO_1_P51,5,1,I,I',1,2,2.5,8.9,22.25,250,2.4516625,OCR CONSISTENTE,tile t01 col3
PISO_1,PISO_1_P52,5,2,I,I',2,3,2.5,7.25,18.125,250,2.4516625,INFERIDO_POR_CONTINUIDAD_GRAFICA,tile t01 col3
PISO_2,PISO_2_P11,1,1,E,F,1,2,10.0,8.9,89.0,500,4.903325,OCR CONSISTENTE,tile t02 fila1 col1
PISO_2,PISO_2_P12,1,2,E,F,2,3,10.0,7.25,72.5,400,3.92266,OCR CONSISTENTE,tile t02 fila2 col1
PISO_2,PISO_2_P21,2,1,F,G,1,2,10.0,8.9,89.0,500,4.903325,OCR CONSISTENTE,tile t02 fila1 col1
PISO_2,PISO_2_P22,2,2,F,G,2,3,10.0,7.25,72.5,400,3.92266,OCR CONSISTENTE,tile t02 fila2 col1
PISO_2,PISO_2_P31,3,1,G,H,1,2,10.0,8.9,89.0,300,2.941995,OCR CONSISTENTE,tile t02 fila1 col2
PISO_2,PISO_2_P32,3,2,G,H,2,3,10.0,7.25,72.5,200,1.96133,OCR CONSISTENTE,tile t02 fila2 col2
PISO_2,PISO_2_P41,4,1,H,I,1,2,10.0,8.9,89.0,300,2.941995,OCR CONSISTENTE,tile t02 fila1 col2
PISO_2,PISO_2_P42,4,2,H,I,2,3,10.0,7.25,72.5,200,1.96133,OCR CONSISTENTE,tile t02 fila2 col2
PISO_2,PISO_2_P51,5,1,I,I',1,2,2.5,8.9,22.25,250,2.4516625,OCR CONSISTENTE,tile t02 fila1 col3
